,parent,daughter,decay,Zi,Ni,Exi,Ji,ni,Zf,Nf,Exf,Jf,nf,I(%),sigma_I(%),logft,sigma_logft,Bexp,sigma_B,sigma_B/B,include,twoJi,twoJf,Bth,Tmirror,deltaJ
86,29Al,29Si,b-,13,16,0.0,5/2,1,14,15,1273.4,3/2,1,89.9,0.3,5.05,0.005,0.054776283,0.000630635,0.011512925,True,5,3,0.089639,False,-1.0
87,29Al,29Si,b-,13,16,0.0,5/2,1,14,15,2028.17,5/2,1,3.8,0.1,5.733,0.013,0.011365605,0.000340214,0.029933606,True,5,5,0.007827,False,0.0
88,29Al,29Si,b-,13,16,0.0,5/2,1,14,15,2425.99,3/2,2,6.3,0.2,5.026,0.015,0.057888535,0.001999399,0.034538776,True,5,3,0.036367,False,-1.0
89,30Al,30Si,b-,13,17,0.0,3,1,14,16,2235.32,2,1,17.1,0.9,5.619,0.025,0.014777214,0.000850645,0.057564627,True,6,4,0.011801,False,-1.0
90,30Al,30Si,b-,13,17,0.0,3,1,14,16,3498.5,2,2,67.3,1.1,4.578,0.012,0.162402442,0.004487345,0.027631021,True,6,4,0.18076,False,-1.0
91,30Al,30Si,b-,13,17,0.0,3,1,14,16,4810.31,2,3,5.7,0.2,5.06,0.019,0.053529422,0.002341865,0.043749117,True,6,4,0.052116,False,-1.0
92,30Al,30Si,b-,13,17,0.0,3,1,14,16,4830.84,3,1,6.6,0.2,4.985,0.017,0.063619838,0.002490332,0.039143947,True,6,6,0.090283,False,0.0
93,30Al,30Si,b-,13,17,0.0,3,1,14,16,5231.56,3,2,2.6,0.2,5.17,0.04,0.04155206,0.003827086,0.092103404,True,6,6,0.038948,False,0.0
94,31Si,31P,b-,14,17,0.0,3/2,1,15,16,0.0,1/2,1,99.94463,7e-05,5.5254,0.0008,0.01833127,3.37674e-05,0.001842068,True,3,1,0.018873,False,-1.0
95,31Si,31P,b-,14,17,0.0,3/2,1,15,16,1266.0,3/2,1,0.0554,0.0007,5.747,0.011,0.011005064,0.000278741,0.025328436,True,3,3,0.032022,False,0.0
96,33P,33S,b-,15,18,0.0,1/2,1,16,17,0.0,3/2,1,100.0,0.0,5.022,0.007,0.058424171,0.000941686,0.016118096,True,1,3,0.052932,False,1.0
97,34P,34S,b-,15,19,0.0,1,1,16,18,0.0,0,1,84.8,2.1,5.159,0.012,0.04261795,0.001177577,0.027631021,True,2,0,0.045334,False,-1.0
98,34P,34S,b-,15,19,0.0,1,1,16,18,2127.564,2,1,14.8,2.0,4.93,0.06,0.072209204,0.00997607,0.138155106,True,2,4,0.130531,False,1.0
99,34P,34S,b-,15,19,0.0,1,1,16,18,3916.408,0,2,0.045,0.017,5.98,0.17,0.006435652,0.002519168,0.391439466,True,2,0,0.011319,False,-1.0
100,34P,34S,b-,15,19,0.0,1,1,16,18,4074.667,1,1,0.111,0.023,5.38,0.09,0.025620792,0.005309465,0.207232658,True,2,2,0.070412,False,0.0
101,34P,34S,b-,15,19,0.0,1,1,16,18,4114.813,2,2,0.31,0.06,4.88,0.09,0.081020059,0.016790002,0.207232658,True,2,4,0.000424,False,1.0
104,35S,35Cl,b-,16,19,0.0,3/2,1,17,18,0.0,3/2,1,100.0,0.0,5.0088,0.0007,0.060227184,9.70748e-05,0.00161181,True,3,3,0.071388,False,0.0
110,19Ne,19F,b+ec,10,9,0.0,1/2,1,9,10,0.0,1/2,1,99.988,0.002,3.2329,0.0024,3.594947529,0.019866414,0.005526204,True,1,1,2.761313,True,0.0
111,19Ne,19F,b+ec,10,9,0.0,1/2,1,9,10,1554.038,3/2,1,0.00213,0.002,5.71,0.05,0.011983745,0.00137968,0.115129255,True,1,3,0.000118,True,1.0
112,20Na,20Ne,b+ec,11,9,0.0,2,1,10,10,1633.674,2,1,79.44,0.27,4.99,0.01,0.062891587,0.001448132,0.023025851,True,4,4,0.059326,False,0.0
113,20Na,20Ne,b+ec,11,9,0.0,2,1,10,10,7421.9,2,2,15.96,0.22,4.2,0.01,0.387786384,0.008929111,0.023025851,True,4,4,0.302933,False,0.0
114,20Na,20Ne,b+ec,11,9,0.0,2,1,10,10,7833.4,2,3,0.583,0.01,5.48,0.01,0.020351319,0.000468606,0.023025851,True,4,4,0.414285,False,0.0
115,21Na,21Ne,b+ec,11,10,0.0,3/2,1,10,11,0.0,3/2,1,94.93,0.13,3.608,0.007,1.515627777,0.024429033,0.016118096,True,3,3,0.485667,True,0.0
116,21Na,21Ne,b+ec,11,10,0.0,3/2,1,10,11,350.7,5/2,1,5.06,0.13,4.596,0.014,0.155809006,0.005022689,0.032236191,True,3,5,0.16152,True,1.0
124,22Mg,22Na,b+ec,12,10,0.0,0,1,11,11,583.1,1,1,41.33,0.2,3.64,0.01,1.407967259,0.032419644,0.023025851,True,0,2,1.397792,False,1.0
125,22Mg,22Na,b+ec,12,10,0.0,0,1,11,11,1936.9,1,2,5.45,0.07,3.46,0.01,2.131044683,0.049069117,0.023025851,True,0,2,2.147842,False,1.0
126,23Mg,23Na,b+ec,12,11,0.0,3/2,1,11,12,0.0,3/2,1,91.3,0.2,3.672,0.001,1.307954258,0.003011676,0.002302585,True,3,3,0.267444,True,0.0
127,23Mg,23Na,b+ec,12,11,0.0,3/2,1,11,12,439.99,5/2,1,8.7,0.3,4.39,0.001,0.250375919,0.000576512,0.002302585,True,3,5,0.23329,True,1.0
128,23Mg,23Na,b+ec,12,11,0.0,3/2,1,11,12,2390.0,1/2,1,0.006,0.0007,4.97,0.05,0.065855576,0.007581903,0.115129255,True,3,1,0.118595,True,-1.0
129,22Al,22Mg,b+ec,13,9,0.0,4,1,12,10,5293.11,4,2,31.0,5.0,4.87,0.08,0.082907259,0.015272081,0.184206807,True,8,8,0.09649,False,0.0
130,22Al,22Mg,b+ec,13,9,0.0,4,1,12,10,5451.8,3,1,5.9,2.4,5.56,0.18,0.01692749,0.007015857,0.414465317,True,8,6,0.032214,False,-1.0
131,22Al,22Mg,b+ec,13,9,0.0,4,1,12,10,6307.0,4,3,4.7,0.6,4.7,0.6,0.122628822,0.169417978,1.381551056,True,8,8,0.011463,False,0.0
132,23Al,23Mg,b+ec,13,10,0.0,5/2,1,12,11,0.0,3/2,1,37.0,1.0,5.32,0.6,0.029416605,0.040640542,1.381551056,True,5,3,0.013203,False,-1.0
133,23Al,23Mg,b+ec,13,10,0.0,5/2,1,12,11,450.0,5/2,1,41.0,1.0,5.19,0.6,0.039681909,0.054822583,1.381551056,True,5,5,0.014516,False,0.0
134,23Al,23Mg,b+ec,13,10,0.0,5/2,1,12,11,2050.9,7/2,1,10.0,1.0,5.5,0.6,0.019435358,0.02685094,1.381551056,True,5,7,0.001403,False,1.0
135,24Al,24Mg,b+ec,13,11,0.0,4,1,12,12,8439.4,4,3,50.0,2.0,3.93,0.02,0.722092037,0.033253567,0.046051702,True,8,8,0.670427,False,0.0
136,24Al,24Mg,b+ec,13,11,0.0,4,1,12,12,4122.0,4,1,7.7,1.0,6.13,0.06,0.004556093,0.000629447,0.138155106,True,8,8,0.007826,False,0.0
137,24Al,24Mg,b+ec,13,11,0.0,4,1,12,12,5235.1,3,1,1.4,0.13,6.59,0.04,0.001579765,0.000145502,0.092103404,True,8,6,0.003809,False,-1.0
138,24Al,24Mg,b+ec,13,11,0.0,4,1,12,12,6010.8,4,2,1.2,0.1,6.43,0.04,0.002283456,0.000210314,0.092103404,True,8,8,0.001749,False,0.0
139,24Al,24Mg,b+ec,13,11,0.0,4,1,12,12,7812.3,5,1,0.05,0.02,7.19,0.17,0.000396819,0.000155331,0.391439466,True,8,10,0.000109,False,1.0
140,25Al,25Mg,b+ec,13,12,0.0,5/2,1,12,13,0.0,5/2,1,99.11,0.08,3.57,0.01,1.65421729,0.038089761,0.023025851,True,5,5,0.61536,True,0.0
141,25Al,25Mg,b+ec,13,12,0.0,5/2,1,12,13,974.0,3/2,1,0.047,0.006,6.2,0.01,0.003877864,8.92911e-05,0.023025851,True,5,3,0.004995,True,-1.0
142,25Al,25Mg,b+ec,13,12,0.0,5/2,1,12,13,1611.7,7/2,1,0.78,0.021,4.36,0.01,0.26828263,0.006177436,0.023025851,True,5,7,0.227019,True,1.0
161,26Si,26Al,b+ec,14,12,0.0,0,1,13,13,1057.7,1,1,21.9,0.4,3.54,0.01,1.772525762,0.040813914,0.023025851,True,0,2,1.694828,False,1.0
162,26Si,26Al,b+ec,14,12,0.0,0,1,13,13,1850.0,1,2,2.73,0.07,3.86,0.01,0.848384169,0.019534767,0.023025851,True,0,2,0.955779,False,1.0
163,26Si,26Al,b+ec,14,12,0.0,0,1,13,13,2071.0,1,3,0.29,0.011,4.63,0.02,0.144076303,0.006634959,0.046051702,True,0,2,0.022319,False,1.0
164,26Si,26Al,b+ec,14,12,0.0,0,1,13,13,2740.0,1,4,0.0618,0.0025,4.54,0.02,0.177252576,0.008162783,0.046051702,True,0,2,0.26411,False,1.0
