,Unnamed: 0,A,Element,Z,N,Energy (keV),Energy Unc (keV),Ji,Thalf,E_gamma (keV),E_gamma Unc (keV),I_gamma,I_gamma Unc,Mult,Mult Ratio,Mult Ratio Unc,Conv Coef,Conv Coef Unc,B_exp (W.u.),B_exp Unc (W.u.),twoJi,Thalf Value,Thalf Units,Thalf Unc,Thalf (sec),Thalf Unc (sec),B_exp (e^2fm^4),B_exp Unc (e^2fm^4),Nucleus,Jf,twoJf,ni,nf,Include,Mth_p,Mth_n
186,186,27,Si,14,13,2647.6,0.3,5/2,17 FS 2,1866.6,0.0,3.9,1.3,(E2),,,,,9.0,3.0,5,17.0,FS,2.0,1.7e-14,2e-15,43.30570860119036,14.435236200396789,27Si,1/2,1,2,1,True,-1.0085,-1.2372
187,187,27,Si,14,13,4447.3,0.5,11/2,390 FS 40,2283.5,0.0,100.0,2.3,(E2),,,,,4.2,0.5,11,390.0,FS,40.0,3.900000000000001e-13,4.0000000000000006e-14,20.209330680555503,2.405872700066132,27Si,7/2,7,1,1,True,-0.9235,-0.888
188,188,28,Si,14,14,1779.03,0.011,2,475 FS 17,1778.969,0.011,100.0,0.0,E2,,,,,13.2,0.5,4,475.0,FS,17.0,4.75e-13,1.7e-14,66.67078887992064,2.5254086696939635,28Si,0,0,1,1,True,-1.4587,-1.4587
189,189,28,Si,14,14,4617.86,0.04,4,37 FS 4,2838.29,0.15,100.0,0.0,(E2),,,,,16.4,1.8,8,37.0,FS,4.0,3.7e-14,4e-15,82.833404365962,9.091471210898268,28Si,2,4,1,1,True,1.7302,1.7302
190,190,28,Si,14,14,4979.92,0.08,0,35 FS 2,3200.7,0.5,100.0,0.0,E2,,,,,9.5,0.6,0,35.0,FS,2.0,3.5e-14,2e-15,47.98276472418531,3.030490403632756,28Si,2,4,2,1,True,1.3248,1.3248
191,191,28,Si,14,14,6690.74,0.15,0,147 FS 10,4910.8,0.5,100.0,0.0,E2,,,,,0.267,0.019,0,147.0,FS,10.0,1.47e-13,1.0000000000000002e-14,1.3485682296165766,0.0959655294483706,28Si,2,4,3,1,True,-0.2823,-0.2823
192,192,28,Si,14,14,7380.59,0.09,2,5 FS 2,2400.5,0.0,0.47,0.16,E2,,,,,0.8,0.5,4,5.0,FS,2.0,5.000000000000001e-15,2e-15,4.040653871510342,2.5254086696939635,28Si,0,0,2,2,True,-0.5832,-0.5832
193,193,28,Si,14,14,7933.45,0.1,2,11 FS 2,3315.2,0.0,5.65,0.24,(E2),,,,,1.2,0.23,4,11.0,FS,2.0,1.1e-14,2e-15,6.060980807265512,1.1616879880592232,28Si,4,8,4,1,True,-0.2312,-0.2312
194,194,28,Si,14,14,7933.45,0.1,2,11 FS 2,2953.2,0.0,4.81,0.24,E2,,,,,1.8,0.4,4,11.0,FS,2.0,1.1e-14,2e-15,9.091471210898268,2.020326935755171,28Si,0,0,4,2,True,-0.1254,-0.1254
195,195,28,Si,14,14,8258.74,0.1,2,10 FS 2,3278.4,0.0,24.3,1.5,E2,,,,,5.0,1.1,4,10.0,FS,2.0,1.0000000000000002e-14,2e-15,25.25408669693964,5.55589907332672,28Si,0,0,5,2,True,-0.7592,-0.7592
196,196,28,Si,14,14,8258.74,0.1,2,10 FS 2,3640.4,0.0,5.7,1.5,(E2),,,,,0.7,0.24,4,10.0,FS,2.0,1.0000000000000002e-14,2e-15,3.5355721375715485,1.2121961614531025,28Si,4,8,5,1,True,-0.2532,-0.2532
197,197,28,Si,14,14,8543.56,0.2,6,11.4 FS 1,3925.1,0.3,100.0,0.0,[E2],,,,,10.6,1.0,12,11.4,FS,1.0,1.14e-14,1e-15,53.53866379751202,5.050817339387927,28Si,4,8,1,1,True,-1.6025,-1.6025
211,211,29,Si,14,15,4079.9,0.3,7/2,44 FS 12,2806.3,0.3,100.0,6.0,(E2),,,,,7.5,2.2,7,44.0,FS,12.0,4.4e-14,1.2e-14,39.69564669060573,11.644056362577684,29Si,3/2,3,1,1,True,1.0841,1.2787
212,212,29,Si,14,15,4741.1,0.3,9/2,36 FS 7,2712.8,0.3,100.0,1.1,(E2),,,,,19.0,4.0,9,36.0,FS,7.0,3.6000000000000004e-14,7e-15,100.56230494953454,21.17101156832306,29Si,5/2,5,1,1,True,-1.581,-1.3748
213,213,29,Si,14,15,4895.2,0.4,5/2,12 FS 5,4893.8,1.2,33.0,4.0,(E2),,,,,0.6,0.3,5,12.0,FS,5.0,1.2e-14,5.000000000000001e-15,3.175651735248459,1.5878258676242294,29Si,1/2,1,3,1,True,0.3614,0.1651
214,214,30,Si,14,16,2235.322,0.018,2,215 FS 28,2235.23,0.02,100.0,0.0,E2,,,0.000436,6e-06,8.5,1.1,4,215.0,FS,28.0,2.1500000000000002e-13,2.8e-14,47.06862948153772,6.091234403493117,30Si,0,0,1,1,True,1.0358,1.2827
215,215,30,Si,14,16,3498.49,0.03,2,58 FS 17,3498.33,0.05,98.0,3.0,E2,,,0.000994,1.4e-05,1.7,0.5,4,58.0,FS,17.0,5.8e-14,1.7e-14,9.413725896307543,2.7687429106786894,30Si,0,0,2,1,True,0.7765,0.0166
216,216,30,Si,14,16,4810.31,0.11,2,104 FS 15,4810.0,0.3,100.0,7.0,E2,,,0.001434,2e-05,0.17,0.03,4,104.0,FS,15.0,1.0400000000000001e-13,1.5000000000000002e-14,0.9413725896307544,0.1661245746407213,30Si,0,0,3,1,True,-0.1837,-0.2015
217,217,30,Si,14,16,5279.37,0.14,4,83 FS 22,3043.2,0.1,100.0,0.3,(E2),,,0.000808,1.2e-05,4.7,1.3,8,83.0,FS,22.0,8.300000000000001e-14,2.2e-14,26.02618336037968,7.198731567764592,30Si,2,4,1,1,True,0.5512,0.916
218,218,30,Si,14,16,5372.2,0.6,0,59 FS 21,3136.6,0.7,100.0,27.0,E2,,,0.000847,1.2e-05,3.4,1.7,0,59.0,FS,21.0,5.9e-14,2.1e-14,18.827451792615086,9.413725896307543,30Si,2,4,3,1,True,-0.758,-0.3305
219,219,30,Si,14,16,5950.73,0.15,4,15 FS 8,3714.9,0.2,100.0,3.0,(E2),,,0.001074,1.5e-05,9.0,5.0,8,15.0,FS,8.0,1.5000000000000002e-14,8e-15,49.83737239221641,27.68742910678689,30Si,2,4,2,1,True,-1.26,-1.1003
220,220,30,Si,14,16,5950.73,0.15,4,15 FS 8,2452.6,1.3,5.0,3.0,(E2),,,0.00054,8e-06,4.0,3.0,8,15.0,FS,8.0,1.5000000000000002e-14,8e-15,22.149943285429515,16.612457464072136,30Si,2,4,2,2,True,-0.679,-0.6844
221,221,32,Si,14,18,1941.4,0.3,2,0.78 PS 0.22,1941.4,0.3,100.0,0.0,E2,,,,,4.4,1.3,4,0.78,PS,0.22,7.8e-13,2.2e-13,26.554427041091664,7.845626171231627,32Si,0,0,1,1,True,0.9891,1.1888
222,222,32,Si,14,18,4230.8,0.8,2,0.26 PS 0.09,4230.0,1.5,100.0,5.0,[E2],,,,,0.17,0.06,4,0.26,PS,0.09,2.6e-13,9e-14,1.0259664993149051,0.3621058232876135,32Si,0,0,2,1,True,-0.3143,0.1019
223,223,34,Si,14,20,3327.14,0.2,2,82 FS 32,3326.96,0.2,100.0,0.0,[E2],,,,,2.6,1.0,4,82.0,FS,32.0,8.2e-14,3.2e-14,17.01229317257016,6.543189681757753,34Si,0,0,1,1,True,-1.2158,0.0
224,224,31,P,15,16,2233.6,0.1,5/2,269 FS 18,2233.6,0.1,100.0,0.0,E2,,,,,6.4,0.5,5,269.0,FS,18.0,2.69e-13,1.8000000000000002e-14,37.02370299500025,2.8924767964843943,31P,1/2,1,1,1,True,1.033,1.0869
225,225,31,P,15,16,3295.0,0.2,5/2,88 FS 10,3294.7,0.7,1.08,0.19,[E2],,,,,0.024,0.005,5,88.0,FS,10.0,8.8e-14,1.0000000000000002e-14,0.1388388862312509,0.0289247679648439,31P,1/2,1,2,1,True,0.1472,-0.364
226,226,31,P,15,16,3414.6,0.3,7/2,219 FS 17,2148.4,0.1,100.0,0.6,E2,,,,,9.5,0.8,7,219.0,FS,17.0,2.1900000000000005e-13,1.7e-14,54.95705913320349,4.627962874375031,31P,3/2,3,1,1,True,1.2105,1.3526
227,227,31,P,15,16,4634.2,0.8,7/2,68 FS 10,3367.6,0.7,9.0,3.0,[E2],,,,,0.1,0.04,7,68.0,FS,10.0,6.8e-14,1.0000000000000002e-14,0.5784953592968789,0.2313981437187515,31P,3/2,3,2,1,True,0.049,-0.2522
228,228,31,P,15,16,4783.4,1.1,5/2,6.9 FS 2.8,4783.4,0.0,100.0,4.0,E2,,,,,2.4,1.0,5,6.9,FS,2.8,6.900000000000001e-15,2.8e-15,13.883888623125092,5.7849535929687885,31P,1/2,1,4,1,True,0.4511,0.4362
229,229,31,P,15,16,5342.9,1.5,9/2,36 FS 8,3109.4,0.6,19.0,2.0,E2,,,,,1.4,0.4,9,36.0,FS,8.0,3.6000000000000004e-14,8e-15,8.098935030156303,2.313981437187516,31P,5/2,5,1,1,True,-0.5345,-0.2525
230,230,31,P,15,16,5342.9,1.5,9/2,36 FS 8,2048.3,0.4,4.9,1.3,E2,,,,,2.9,1.0,9,36.0,FS,8.0,3.6000000000000004e-14,8e-15,16.776365419609487,5.7849535929687885,31P,5/2,5,1,2,True,-0.7241,-0.8147
231,231,31,P,15,16,5773.5,1.6,7/2,22 FS 7,4507.0,0.0,57.0,14.0,[E2],,,,,0.43,0.18,7,22.0,FS,7.0,2.2e-14,7e-15,2.487530044976579,1.0412916467343818,31P,3/2,3,3,1,True,-0.0839,0.0059
232,232,31,P,15,16,5891.9,2.0,9/2,23 FS 6,3658.2,0.5,100.0,3.0,E2,,,,,5.4,1.5,9,23.0,FS,6.0,2.3000000000000003e-14,6.000000000000001e-15,31.23874940203146,8.677430389453182,31P,5/2,5,2,1,True,-0.5382,-0.9445
233,233,31,P,15,16,6078.1,1.8,9/2,22 FS 10,3844.6,0.1,100.0,9.0,E2,,,,,3.3,1.6,9,22.0,FS,10.0,2.2e-14,1.0000000000000002e-14,19.090346856797,9.255925748750062,31P,5/2,5,3,1,True,-0.8879,-0.9051
237,237,33,P,15,18,4048.4,0.5,5/2,62 FS 21,4048.0,0.0,7.0,4.0,[E2],,,,,0.07,0.05,5,62.0,FS,21.0,6.2e-14,2.1e-14,0.4401502107316768,0.3143930076654834,33P,1/2,1,3,1,True,-0.4193,0.2318
238,238,33,P,15,18,4193.4,1.2,5/2,104 FS 35,4193.5,2.5,100.0,0.0,[E2],,,,,0.64,0.22,5,104.0,FS,35.0,1.0400000000000001e-13,3.5e-14,4.024230498118188,1.383329233728127,33P,1/2,1,4,1,True,-0.287,0.3502
239,239,31,S,16,15,2234.29,0.14,5/2,222 FS 55,2234.2,0.2,100.0,1.0,E2,,,,,7.8,2.2,5,222.0,FS,55.0,2.2200000000000001e-13,5.5000000000000005e-14,45.12263802515655,12.726897904531336,31S,1/2,1,1,1,True,1.0869,1.033
240,240,32,S,16,16,3778.4,1.0,0,0.89 PS 0.09,1548.8,1.5,100.0,0.0,[E2],,,,,11.8,1.2,0,0.89,PS,0.09,8.9e-13,9e-14,71.214145246564,7.242116465752271,32S,2,4,2,1,True,1.1536,1.1536
241,241,32,S,16,16,4459.1,0.8,4,124 FS 27,2229.4,1.2,100.0,0.0,E2,,,,,14.0,3.0,8,124.0,FS,27.0,1.24e-13,2.7e-14,84.49135876710983,18.10529116438068,32S,2,4,1,1,True,-1.3039,-1.3039
