,A,Element,Z,N,Energy (keV),Energy Unc (keV),Ji,Thalf,E_gamma (keV),E_gamma Unc (keV),I_gamma,I_gamma Unc,Mult,Mult Ratio,Mult Ratio Unc,Conv Coef,Conv Coef Unc,B_exp (W.u.),B_exp Unc (W.u.),twoJi,Thalf Value,Thalf Units,Thalf Unc,Thalf (sec),Thalf Unc (sec),B_exp (e^2fm^4),B_exp Unc (e^2fm^4),Nucleus,Jf,twoJf,ni,nf,Include
230,31,P,15,16,5342.9,1.5,9/2,36 FS 8,2048.3,0.4,4.9,1.3,E2,,,,,2.9,1.0,9,36.0,FS,8.0,3.6000000000000004e-14,8e-15,16.776365419609487,5.7849535929687885,31P,5/2,5,1,2,True
231,31,P,15,16,5773.5,1.6,7/2,22 FS 7,4507.0,0.0,57.0,14.0,[E2],,,,,0.43,0.18,7,22.0,FS,7.0,2.2e-14,7e-15,2.487530044976579,1.0412916467343818,31P,3/2,3,3,1,True
232,31,P,15,16,5891.9,2.0,9/2,23 FS 6,3658.2,0.5,100.0,3.0,E2,,,,,5.4,1.5,9,23.0,FS,6.0,2.3000000000000003e-14,6.000000000000001e-15,31.23874940203146,8.677430389453182,31P,5/2,5,2,1,True
233,31,P,15,16,6078.1,1.8,9/2,22 FS 10,3844.6,0.1,100.0,9.0,E2,,,,,3.3,1.6,9,22.0,FS,10.0,2.2e-14,1.0000000000000002e-14,19.090346856797,9.255925748750062,31P,5/2,5,3,1,True
234,31,P,15,16,6078.1,1.8,9/2,22 FS 10,2783.6,0.0,9.0,6.0,[E2],,,,,1.5,1.2,9,22.0,FS,10.0,2.2e-14,1.0000000000000002e-14,8.677430389453182,6.941944311562546,31P,5/2,5,3,2,False
235,31,P,15,16,6452.7,1.0,11/2,23 FS 10,1819.6,0.6,2.7,0.3,[E2],,,,,4.9,2.3,11,23.0,FS,10.0,2.3000000000000003e-14,1.0000000000000002e-14,28.346272605547068,13.305393263828211,31P,7/2,7,1,2,False
236,31,P,15,16,6452.7,1.0,11/2,23 FS 10,3039.2,0.4,100.0,4.0,E2,,,,,14.0,7.0,11,23.0,FS,10.0,2.3000000000000003e-14,1.0000000000000002e-14,80.98935030156304,40.49467515078152,31P,7/2,7,1,1,False
237,33,P,15,18,4048.4,0.5,5/2,62 FS 21,4048.0,0.0,7.0,4.0,[E2],,,,,0.07,0.05,5,62.0,FS,21.0,6.2e-14,2.1e-14,0.4401502107316768,0.3143930076654834,33P,1/2,1,3,1,True
238,33,P,15,18,4193.4,1.2,5/2,104 FS 35,4193.5,2.5,100.0,0.0,[E2],,,,,0.64,0.22,5,104.0,FS,35.0,1.0400000000000001e-13,3.5e-14,4.024230498118188,1.383329233728127,33P,1/2,1,4,1,True
239,31,S,16,15,2234.29,0.14,5/2,222 FS 55,2234.2,0.2,100.0,1.0,E2,,,,,7.8,2.2,5,222.0,FS,55.0,2.2200000000000001e-13,5.5000000000000005e-14,45.12263802515655,12.726897904531336,31S,1/2,1,1,1,True
240,32,S,16,16,3778.4,1.0,0,0.89 PS 0.09,1548.8,1.5,100.0,0.0,[E2],,,,,11.8,1.2,0,0.89,PS,0.09,8.9e-13,9e-14,71.214145246564,7.242116465752271,32S,2,4,2,1,True
241,32,S,16,16,4459.1,0.8,4,124 FS 27,2229.4,1.2,100.0,0.0,E2,,,,,14.0,3.0,8,124.0,FS,27.0,1.24e-13,2.7e-14,84.49135876710983,18.10529116438068,32S,2,4,1,1,True
242,32,S,16,16,6851.5,1.5,4,66 FS 17,2570.8,0.0,100.0,13.0,E2,,,,,8.0,3.0,8,66.0,FS,17.0,6.600000000000002e-14,1.7e-14,48.28077643834848,18.10529116438068,32S,2,4,3,2,True
243,33,S,16,17,1967.19,0.03,5/2,94 FS 14,1126.0,0.6,7.5,1.1,E2,,,,,37.0,8.0,5,94.0,FS,14.0,9.4e-14,1.4e-14,232.65082567245773,50.30288122647735,33S,1/2,1,1,1,True
244,33,S,16,17,2867.626,0.02,5/2,10.8 FS 3.5,2026.6,0.0,1.5,0.2,E2,,,,,3.6,1.3,5,10.8,FS,3.5,1.0800000000000002e-14,3.5e-15,22.636296551914807,8.174218199302569,33S,1/2,1,2,1,True
245,33,S,16,17,4095.09,0.17,7/2,31 FS 8,4096.0,0.5,5.7,1.1,E2,,,,,0.09,0.04,7,31.0,FS,8.0,3.1e-14,8e-15,0.5659074137978701,0.2515144061323867,33S,3/2,3,2,1,True
246,34,S,16,18,2127.564,0.013,2,318 FS 8,2127.499,0.02,100.0,0.0,E2,,,,,6.24,0.16,4,318.0,FS,8.0,3.18e-13,8e-15,40.82950361416838,1.0469103490812406,34S,0,0,1,1,True
247,34,S,16,18,3304.212,0.013,2,136 FS 7,3304.031,0.02,87.2,0.9,E2,,,,,0.75,0.04,4,136.0,FS,7.0,1.36e-13,7e-15,4.907392261318315,0.2617275872703101,34S,0,0,2,1,True
248,34,S,16,18,3916.408,0.021,0,1.12 PS 0.09,1788.794,0.02,100.0,10.0,E2,,,,,4.2,0.7,0,1.12,PS,0.09,1.12e-12,9e-14,27.481396663382565,4.580232777230427,34S,2,4,2,1,True
249,34,S,16,18,4114.813,0.023,2,73 FS 6,4114.52,0.04,100.0,10.0,E2,,,,,0.57,0.09,4,73.0,FS,6.0,7.3e-14,6.000000000000001e-15,3.7296181186019193,0.5888870713581977,34S,0,0,3,1,True
250,34,S,16,18,4688.98,0.05,4,88 FS 4,2561.36,0.05,100.0,11.0,E2,,,,,8.2,1.4,8,88.0,FS,4.0,8.8e-14,4e-15,53.65415539041357,9.160465554460854,34S,2,4,1,1,True
251,34,S,16,18,4889.756,0.022,2,29 FS 10,4889.3,0.08,90.0,10.0,E2,,,,,0.35,0.13,4,29.0,FS,10.0,2.9e-14,1.0000000000000002e-14,2.2901163886152136,0.8506146586285079,34S,0,0,4,1,True
252,34,S,16,18,10651.6,0.8,8,35 FS 17,2147.2,0.6,100.0,21.0,E2,,,,,27.0,15.0,16,35.0,FS,17.0,3.5e-14,1.7e-14,176.66612140745934,98.1478452263663,34S,6,12,1,1,False
253,34,S,16,18,12141.3,0.7,9,173 FS 35,2228.8,0.6,100.0,12.0,E2,,,,,7.6,2.0,18,173.0,FS,35.0,1.7300000000000005e-13,3.5e-14,49.72824158135892,13.086379363515508,34S,7,14,1,1,False
254,34,S,16,18,13341.6,0.8,10,180 FS 28,1966.8,0.9,81.0,19.0,E2,,,,,7.1,2.3,20,180.0,FS,28.0,1.8000000000000004e-13,2.8e-14,46.456646740480046,15.04933626804283,34S,8,16,1,2,False
255,36,S,16,20,3290.9,0.3,2,83 FS 7,3290.8,0.6,100.0,0.0,E2,,,,,2.83,0.24,4,83.0,FS,7.0,8.300000000000001e-14,7e-15,19.98361515625576,1.694723546820276,36S,0,0,1,1,True
256,33,Cl,17,16,2839.0,0.3,5/2,3 FS 1,2028.4,0.0,1.0,0.4,[E2],,,,,9.0,5.0,5,3.0,FS,1.0,3.0000000000000002e-15,1e-15,56.59074137978701,31.439300766548342,33Cl,1/2,1,2,1,True
257,34,Cl,17,17,2376.5,0.4,4,150 FS 17,1146.3,0.0,11.0,8.0,E2,,,,,20.0,16.0,8,150.0,FS,17.0,1.5000000000000004e-13,1.7e-14,130.86379363515508,104.69103490812404,34Cl,2,4,1,1,True
258,34,Cl,17,17,4824.2,0.1,5,0.32 PS 0.1,4677.4,0.2,100.0,14.0,E2,,,,,0.08,0.03,10,0.32,PS,0.1,3.2e-13,1e-13,0.5234551745406203,0.1962956904527326,34Cl,3,6,1,1,True
259,34,Cl,17,17,4824.2,0.1,5,0.32 PS 0.1,2643.5,0.5,4.2,1.4,E2,,,,,0.06,0.03,10,0.32,PS,0.1,3.2e-13,1e-13,0.3925913809054652,0.1962956904527326,34Cl,3,6,1,2,True
260,34,Cl,17,17,5314.93,0.17,7,65 PS 8,490.8,0.2,100.0,1.0,E2,,,,,35.0,5.0,14,65.0,PS,8.0,6.5e-11,8e-12,229.01163886152136,32.71594840878877,34Cl,5,10,1,1,False
261,35,Cl,17,18,2645.74,0.08,7/2,159 FS 21,2645.7,0.3,100.0,1.1,E2,,,,,3.7,0.5,7,159.0,FS,21.0,1.59e-13,2.1e-14,25.16382970579376,3.400517527809966,35Cl,3/2,3,1,1,True
262,35,Cl,17,18,3002.3,0.13,5/2,21 FS 4,1782.9,0.0,3.4,1.1,E2,,,,,7.0,3.0,5,21.0,FS,4.0,2.1e-14,4e-15,47.60724538933953,20.4031051668598,35Cl,1/2,1,2,1,True
263,35,Cl,17,18,3943.82,0.25,9/2,205 FS 35,2180.0,1.0,100.0,2.2,[E2],,,,,7.1,1.3,9,205.0,FS,35.0,2.05e-13,3.5e-14,48.28734889490153,8.841345572305913,35Cl,5/2,5,1,1,True
264,35,Cl,17,18,4111.98,0.24,7/2,49 FS 11,4111.7,0.0,100.0,6.0,E2,,,,,0.72,0.18,7,49.0,FS,11.0,4.9000000000000006e-14,1.1e-14,4.896745240046352,1.224186310011588,35Cl,3/2,3,2,1,True
265,32,Ar,18,14,1867.0,8.0,2,0.46 PS 0.12,1867.0,8.0,100.0,0.0,[E2],,,,,8.9,2.3,4,0.46,PS,0.12,4.600000000000002e-13,1.2e-13,53.71236378766268,13.880723226025186,32Ar,0,0,1,1,True
266,34,Ar,18,16,2091.1,0.3,2,319 FS 42,2091.1,0.3,100.0,0.0,E2,,,,,6.8,0.9,4,319.0,FS,42.0,3.19e-13,4.2e-14,44.49368983595272,5.888870713581978,34Ar,0,0,1,1,True
