,Index,A,Element,Z,N,Energy (keV),Energy Unc (keV),Ji,Thalf,E_gamma (keV),E_gamma Unc (keV),I_gamma,I_gamma Unc,Mult,B_exp (W.u.),B_exp Unc (W.u.),twoJi,Thalf Value,Thalf Units,Thalf Unc,Thalf (sec),Thalf Unc (sec),B_exp (mu_N^2),B_exp Unc (mu_N^2),Nucleus,Jf,twoJf,ni,nf,Include,Mth_sp,Mth_sn,Mth_lp,Mth_ln,B_th_free (W.u.),B_th_brown (W.u.),B_rel_err_free,B_rel_err_brown,B_residual_free,B_residual_brown,B_residual_free (Abs),B_residual_brown (Abs)
14,23,18,F,9,9,6283.2,0.9,2,10.0 KEV 0.5,2559.0,0.0,1.4,0.5,M1,0.071,0.034,4,10.0,KEV,0.5,4.562294742445559e-20,9.124589484891121e-19,0.1271250107946513,0.0608767657326499,18F,1,2,5,3,True,-0.0034,0.0034,0.3106,-0.3106,0.04336173979924022,0.07174383216109496,0.3892712704332363,-0.010476509311196768,0.05354995111611231,-0.0014411969341012595,0.05354995111611231,0.0014411969341012595
148,177,29,Si,14,15,4895.2,0.4,5/2,12 FS 5,3621.6,0.4,100.0,7.0,(M1),0.021,0.009,5,12.0,FS,5.0,1.2e-14,5.000000000000001e-15,0.0376003553054602,0.0161144379880544,29Si,3/2,3,3,1,True,0.0203,0.0614,-0.0753,-0.0064,0.021646925883191122,0.022373572520050282,-0.030805994437672405,-0.06540821524048955,-0.0012559749900629457,-0.002666723927803057,0.0012559749900629457,0.002666723927803057
163,197,34,Cl,17,17,461.0,0.04,1,5.2 PS 0.4,461.0,0.04,100.0,0.0,M1,0.043,0.004,2,5.2,PS,0.4,5.200000000000001e-12,4e-13,0.0769912037207043,0.0071619724391352,34Cl,0,0,1,1,True,0.0094,-0.0094,-0.2776,0.2776,0.019982736189854747,0.039214790680312854,0.5352852048870989,0.08802812371365448,0.04469236809754772,0.007349699322956078,0.04469236809754772,0.007349699322956078
41,52,20,F,9,11,822.73,0.03,4,55 PS 4,166.78,0.05,66.8,2.4,[M1],0.0572,0.0048,8,55.0,PS,4.0,5.5e-11,4e-12,0.1024162058796346,0.0085943669269623,20F,3,6,1,1,True,-0.0074,0.0512,-0.0944,0.0505,0.06144445833952379,0.06225634836042459,-0.0742038171245418,-0.08839769860882148,-0.008241308726703665,-0.009817725734279728,0.008241308726703665,0.009817725734279728
107,123,26,Al,13,13,3753.63,0.13,0,5 FS 2,1902.93,0.0,3.0,0.4,[M1],0.017,0.007,0,5.0,FS,2.0,5.000000000000001e-15,2e-15,0.0304383828663249,0.0125334517684867,26Al,1,2,2,2,True,-0.0053,0.0053,-0.1318,0.1318,0.01844074330109497,0.024808030321363136,-0.08474960594676291,-0.4592959012566549,-0.0027973014208471842,-0.01515982361005423,0.0027973014208471842,0.01515982361005423
70,83,23,Na,11,12,2982.0,0.5,3/2,3.3 FS 0.4,591.0,1.0,0.51,0.17,[M1],0.1,0.04,3,3.3,FS,0.4,3.3e-15,4e-16,0.1790493109783822,0.0716197243913529,23Na,1/2,1,2,1,True,-0.084,-0.0083,0.0056,0.0867,0.10418224920506151,0.09138427996969832,-0.041822492050615084,0.08615720030301685,-0.008096487472412973,0.016679319158392714,0.008096487472412973,0.016679319158392714
49,60,20,F,9,11,2966.11,0.03,3,3.6 FS 0.8,2309.96,0.06,12.2,1.1,[M1],0.059,0.014,6,3.6,FS,0.8,3.6e-15,8.000000000000001e-16,0.1056390934772455,0.0250669035369735,20F,3,6,3,1,True,0.0032,-0.0428,0.1478,-0.1083,0.06063163940470077,0.06822755523789943,-0.027654905164419832,-0.1563992413203294,-0.003167061848164631,-0.017910966149498272,0.003167061848164631,0.017910966149498272
75,88,23,Na,11,12,6235.4,0.6,13/2,16 FS 8,701.0,1.0,12.0,6.0,(M1),0.4,0.3,13,16.0,FS,8.0,1.6e-14,8e-15,0.7161972439135291,0.5371479329351467,23Na,11/2,11,1,1,True,-0.0912,0.0317,-0.1979,0.2574,0.383571947682236,0.38927526310525706,0.04107013079441002,0.026811842236857397,0.027563496988977275,0.017994297034601613,0.027563496988977275,0.017994297034601613
142,171,27,Si,14,13,2909.9,0.2,9/2,52 FS 6,746.2,0.0,6.4,2.2,(M1),0.061,0.023,9,52.0,FS,6.0,5.2000000000000006e-14,6.000000000000001e-15,0.1092200796968131,0.0411813415250279,27Si,7/2,7,1,1,True,-0.0088,0.0171,-0.2013,0.1931,0.05574448712934754,0.07108520865613967,0.08615594869922061,-0.1653312894449126,0.01019471757494255,-0.019563429196006427,0.01019471757494255,0.019563429196006427
156,186,32,P,15,17,2740.36,0.06,1,14 FS 5,2227.57,0.07,100.0,1.5,M1,0.09,0.04,2,14.0,FS,5.0,1.4e-14,5.000000000000001e-15,0.161144379880544,0.0716197243913529,32P,0,0,4,1,True,0.0384,0.0253,0.2103,-0.2739,0.06009747578242463,0.07912125908139105,0.33225026908417077,0.120874899095655,0.05788880596309751,0.021060339842146822,0.05788880596309751,0.021060339842146822
74,87,23,Na,11,12,6115.1,0.6,11/2,35 FS 9,3411.0,1.0,100.0,0.9,M1,0.012,0.004,11,35.0,FS,9.0,3.5e-14,9.000000000000001e-15,0.0214859173174058,0.0071619724391352,23Na,9/2,9,2,1,True,0.0303,-0.0067,0.0179,-0.0415,0.025294173767444913,0.023320126024139663,-1.1078478139537427,-0.9433438353449718,-0.025813151053407573,-0.021980164252124745,0.025813151053407573,0.021980164252124745
129,157,27,Al,13,14,5667.3,1.2,9/2,11 FS 3,1156.9,1.4,20.0,8.0,(M1),0.14,0.07,9,11.0,FS,3.0,1.1e-14,3.0000000000000002e-15,0.2506690353697351,0.1253345176848675,27Al,11/2,11,3,1,True,0.0283,-0.0825,0.0368,0.0173,0.14561802139128693,0.12856185121879332,-0.040128724223478,0.08170106272290494,-0.010809385325582477,0.02200763382267625,0.010809385325582477,0.02200763382267625
149,179,30,Si,14,16,5372.2,0.6,0,59 FS 21,1602.8,0.9,66.0,20.0,M1,0.036,0.019,0,59.0,FS,21.0,5.9e-14,2.1e-14,0.0644577519522176,0.0340193690858926,30Si,1,2,3,1,True,0.0084,-0.0506,-0.0087,0.0509,0.030025393807841107,0.024222314044966477,0.16596128311552474,0.3271579431953756,0.011593289892401439,0.022853745192037467,0.011593289892401439,0.022853745192037467
162,196,33,Cl,17,16,810.55,0.16,1/2,1.2 PS 0.2,810.55,0.16,100.0,0.0,[M1],0.034,0.006,1,1.2,PS,0.2,1.2e-12,2e-13,0.0608767657326499,0.0107429586587029,33Cl,3/2,3,1,1,True,0.0609,0.0244,-0.0333,-0.052,0.025466711801624645,0.020831131765413416,0.2509790646580987,0.387319653958429,0.016568367241671288,0.025568882709170692,0.016568367241671288,0.025568882709170692
21,30,18,F,9,9,6385.5,1.7,2,0.49 KEV 0.09,4685.0,0.0,6.8,1.7,M1,0.014,0.007,4,0.49,KEV,0.09,9.310805596827677e-19,5.0692163804950674e-18,0.0250669035369735,0.0125334517684867,18F,1,2,6,2,True,0.0124,0.0124,-0.0124,-0.0124,4.9537207951731833e-05,2.422029237988829e-05,0.9964616280034477,0.9982699791157224,0.0270857753494424,0.02713492986839575,0.0270857753494424,0.02713492986839575
79,93,31,Mg,12,19,50.1,0.2,3/2,16 NS 3,50.2,0.2,100.0,0.0,[M1],0.0106,0.0021,3,16.0,NS,3.0,1.6e-08,3e-09,0.0189792269637085,0.003760035530546,31Mg,1/2,1,1,1,True,-0.0189,-0.012,-0.123,0.1539,0.018638285589975923,0.024905791312290503,-0.7583288292430116,-1.3496029539896701,-0.015608191772712991,-0.02777800462092196,0.015608191772712991,0.02777800462092196
48,59,20,F,9,11,2966.11,0.03,3,3.6 FS 0.8,2965.9,0.09,27.1,1.4,[M1],0.063,0.014,6,3.6,FS,0.8,3.6e-15,8.000000000000001e-16,0.1128010659163808,0.0250669035369735,20F,2,4,3,1,True,0.0122,-0.037,0.0815,-0.0567,0.04737893647120089,0.048203390403491635,0.24795338934601766,0.23486681899219627,0.030320960738802805,0.028720670511069437,0.030320960738802805,0.028720670511069437
134,162,28,Al,13,15,1622.907,0.02,2,63 FS 10,1622.87,0.06,100.0,11.0,[M1],0.073,0.016,4,63.0,FS,10.0,6.300000000000001e-14,1.0000000000000002e-14,0.130705997014219,0.0286478897565411,28Al,3,6,2,1,True,0.0063,0.0477,-0.212,0.158,0.072130820204,0.08796900844916201,0.011906572547945202,-0.20505491026249342,0.0016869138356021898,-0.029052018436629072,0.0016869138356021898,0.029052018436629072
24,34,18,F,9,9,6484.9,1.5,3,0.40 KEV 0.1,2646.0,0.0,9.0,2.0,M1,0.017,0.006,6,0.4,KEV,0.1,1.1405736856113897e-18,4.562294742445559e-18,0.0304383828663249,0.0107429586587029,18F,2,4,6,3,True,-0.0079,0.0079,0.094,-0.094,0.00021560552125139635,0.001323660880446927,0.9873173222793296,0.9221375952678278,0.03258884561123015,0.03043742781208107,0.03258884561123015,0.03043742781208107
57,68,18,Ne,10,8,3616.4,0.6,2,44 FS +21-14,1729.0,0.0,91.0,2.0,M1,0.088,0.038,4,44.0,FS,21.0,4.4e-14,2.1e-14,0.1575633936609763,0.0680387381717852,18Ne,2,4,2,1,True,-0.09,0.0,0.09,0.0,0.09515755327877094,0.07207679111731843,-0.08133583271330623,0.18094555548501776,-0.013860481684661365,0.03083502650745798,0.013860481684661365,0.03083502650745798
102,118,26,Al,13,13,3750.9,0.04,2,22 FS 6,1681.37,0.0,100.0,3.0,[M1],0.14,0.04,4,22.0,FS,6.0,2.2e-14,6.000000000000001e-15,0.2506690353697351,0.0716197243913529,26Al,2,4,6,2,True,0.0459,-0.0459,0.0552,-0.0552,0.13261137633331846,0.122503513025162,0.05277588333343967,0.12497490696312862,0.014303762406903585,0.033871747152601654,0.014303762406903585,0.033871747152601654
18,27,18,F,9,9,6310.5,0.8,3,0.95 KEV 0.14,2195.0,0.0,2.4,1.7,M1,0.018,0.014,6,0.95,KEV,0.14,4.802415518363747e-19,3.258781958889685e-18,0.0322288759761088,0.0250669035369735,18F,3,6,5,3,True,-0.0212,-0.0212,0.0212,0.0212,0.00014479710420022367,7.079583901676003e-05,0.9919557164333209,0.9960668978324022,0.034657493389537664,0.03480113210223561,0.034657493389537664,0.03480113210223561
89,104,26,Al,13,13,2740.03,0.03,1,31 FS 3,2511.59,0.0,100.0,0.2,M1,0.044,0.005,2,31.0,FS,3.0,3.1e-14,3.0000000000000002e-15,0.0787816968304881,0.0089524655489191,26Al,0,0,4,1,True,0.0513,-0.0513,-0.0902,0.0902,0.0861244214454525,0.062191316178793275,-0.9573732146693751,-0.4134390040634836,-0.08179113838917726,-0.03532127939104511,0.08179113838917726,0.03532127939104511
23,33,18,F,9,9,6484.9,1.5,3,0.40 KEV 0.1,3423.0,0.0,21.0,3.0,M1,0.019,0.007,6,0.4,KEV,0.1,1.1405736856113897e-18,4.562294742445559e-18,0.0340193690858926,0.0125334517684867,18F,2,4,6,2,True,-0.0067,-0.0067,0.0067,0.0067,1.4462313117541918e-05,7.071077815642463e-06,0.9992388256253926,0.999627838009703,0.03686171680041934,0.03687606738806122,0.03686171680041934,0.03687606738806122
10,18,18,F,9,9,6163.2,0.9,3,14.0 KEV 0.5,3101.0,0.0,1.3,0.3,M1,0.019,0.01,6,14.0,KEV,0.5,3.258781958889685e-20,9.124589484891121e-19,0.0340193690858926,0.0179049310978382,18F,2,4,4,2,True,0.0003,0.0003,-0.0003,-0.0003,2.8995504134078253e-08,1.417681005586594e-08,0.9999984739208351,0.9999992538521023,0.036886194481675565,0.03688622325041588,0.036886194481675565,0.03688622325041588
25,35,18,F,9,9,6484.9,1.5,3,0.40 KEV 0.1,1521.0,0.0,2.0,2.0,M1,0.02,0.02,6,0.4,KEV,0.1,1.1405736856113897e-18,4.562294742445559e-18,0.0358098621956764,0.0358098621956764,18F,2,4,6,4,True,0.0399,0.0399,-0.0399,-0.0399,0.0005129014726277094,0.0002507735930782128,0.9743549263686144,0.9874613203460892,0.03781052497184673,0.03831912776469462,0.03781052497184673,0.03831912776469462
152,182,32,P,15,17,78.06,0.02,2,278 PS 9,78.05,0.02,100.0,0.0,(M1),0.165,0.006,4,278.0,PS,9.0,2.7799999999999997e-10,9e-12,0.2954313631143307,0.0107429586587029,32P,1,2,1,1,True,0.1254,0.0643,0.0603,-0.2499,0.14800683884479116,0.1452637876098827,0.10298885548611425,0.11961340842495334,0.03299419028997604,0.03832014192387678,0.03299419028997604,0.03832014192387678
151,181,31,P,15,16,3134.3,0.4,1/2,7.2 FS 0.6,3134.3,0.0,100.0,0.3,M1,0.097,0.008,1,7.2,FS,0.6,7.2e-15,6e-16,0.1736778316490308,0.0143239448782705,31P,1/2,1,2,1,True,-0.0937,-0.0268,-0.0484,0.1688,0.12300654739807963,0.11754641075237991,-0.2681087360626766,-0.21181866755030834,-0.05049205867317719,-0.03989113054310972,0.05049205867317719,0.03989113054310972
144,173,28,Si,14,14,8588.71,0.1,3,11 FS 2,789.7,0.0,0.59,0.1,[M1],0.021,0.006,6,11.0,FS,2.0,1.1e-14,2e-15,0.0376003553054602,0.0107429586587029,28Si,3,6,3,2,True,0.0477,0.0477,-0.0477,-0.0477,0.0007330353400136321,0.00035840393502234707,0.9650935552374461,0.9829331459513168,0.039350658920034906,0.040078049177326415,0.039350658920034906,0.040078049177326415
145,174,28,Si,14,14,9381.55,0.12,2,1.1 FS 0.3,3105.0,0.0,4.48,0.23,(M1),0.027,0.008,4,1.1,FS,0.3,1.1000000000000001e-15,3e-16,0.0483433139641632,0.0143239448782705,28Si,3,6,6,1,True,0.0436,-0.0436,-0.0671,0.0671,0.06582660585153072,0.04878625767955864,-1.4380224389455822,-0.8068984325762458,-0.0753823731665579,-0.04229830989047244,0.0753823731665579,0.04229830989047244
105,121,26,Al,13,13,3753.63,0.13,0,5 FS 2,1013.58,0.0,2.2,0.3,[M1],0.08,0.04,0,5.0,FS,2.0,5.000000000000001e-15,2e-15,0.1432394487827058,0.0716197243913529,26Al,1,2,2,4,True,-0.0544,0.0544,0.1248,-0.1248,0.08376187289599997,0.05628257377823463,-0.0470234111999996,0.2964678277720671,-0.007282673815422653,0.04591496940211101,0.007282673815422653,0.04591496940211101
160,194,33,S,16,17,2313.399,0.014,3/2,109 FS 17,346.19,0.14,1.6,0.3,(M1),0.055,0.014,3,109.0,FS,17.0,1.09e-13,1.7e-14,0.0984771210381102,0.0250669035369735,33S,5/2,5,2,1,True,-0.0312,-0.1648,-0.136,0.3321,0.057314159910703905,0.03133882760279327,-0.042075634740070984,0.43020313449466774,-0.0044918549666226664,0.045927057268993966,0.0044918549666226664,0.045927057268993966
135,163,28,Al,13,15,2271.745,0.019,4,22 FS 3,2271.65,0.023,100.0,5.0,[M1],0.079,0.013,8,22.0,FS,3.0,2.2e-14,3.0000000000000002e-15,0.1414489556729219,0.0232764104271896,28Al,3,6,1,1,True,-0.0507,0.0358,-0.033,0.0479,0.11473126667197815,0.10365818268659217,-0.4522945148351665,-0.3121288947669895,-0.06935900625267857,-0.04786471923426927,0.06935900625267857,0.04786471923426927
161,195,33,S,16,17,3831.6,0.3,5/2,30 FS 8,862.4,0.0,19.0,7.0,[M1],0.12,0.06,5,30.0,FS,8.0,3.0000000000000005e-14,8e-15,0.2148591731740587,0.1074295865870293,33S,7/2,7,3,1,True,-0.1002,-0.0279,0.013,0.1152,0.10812367041316025,0.09496075184134077,0.09896941322366458,0.2086604013221602,0.02290590283840285,0.04829325266490221,0.02290590283840285,0.04829325266490221
43,54,20,F,9,11,2043.98,0.03,2,2.7 FS 0.5,2043.89,0.06,7.5,0.6,[M1],0.071,0.014,4,2.7,FS,0.5,2.7000000000000005e-15,5e-16,0.1271250107946513,0.0250669035369735,20F,2,4,2,1,True,-0.0128,0.0213,-0.1169,0.1084,0.0406952355185042,0.0459450718657039,0.4268276687534619,0.3528863117506492,0.05882247212861433,0.04863237966307148,0.05882247212861433,0.04863237966307148
97,113,26,Al,13,13,3159.889,0.013,2,3.5 FS 0.7,794.726,0.0,0.35,0.08,[M1],0.028,0.009,4,3.5,FS,0.7,3.5e-15,7e-16,0.050133807073947,0.0161144379880544,26Al,3,6,5,2,True,0.0022,-0.0022,-0.0525,0.0525,0.0005647111737206703,0.0012044564560055866,0.9798317437956904,0.9569836979998004,0.05326427262577208,0.052022238421487135,0.05326427262577208,0.052022238421487135
86,100,26,Al,13,13,2069.47,0.03,2,14 FS 2,1652.56,0.0,28.4,1.1,[M1],0.075,0.011,4,14.0,FS,2.0,1.4e-14,2e-15,0.1342869832337866,0.019695424207622,26Al,3,6,2,1,True,0.0433,-0.0433,0.0407,-0.0407,0.1122451055911508,0.10211962483937992,-0.4966014078820108,-0.361594997858399,-0.07230410210225197,-0.05264745775958229,0.07230410210225197,0.05264745775958229
36,47,19,F,9,10,6592.0,2.0,9/2,7.6 EV 1.8,2214.0,0.0,24.0,2.0,M1,0.35,0.07,9,7.6,EV,1.8,6.003019397954684e-20,2.534608190247533e-19,0.6266725884243378,0.1253345176848675,19F,7/2,7,2,1,True,0.0411,-0.0548,0.2821,-0.2684,0.2906988192119107,0.3204055071296145,0.1694319451088265,0.08455569391538703,0.11409876694215464,0.056941448718464335,0.11409876694215464,0.056941448718464335
165,200,35,Cl,17,18,3967.5,0.23,1/2,10 FS 3,2748.5,0.6,100.0,6.0,[M1],0.079,0.025,1,10.0,FS,3.0,1.0000000000000002e-14,3.0000000000000002e-15,0.1414489556729219,0.0447623277445955,35Cl,1/2,1,2,1,True,0.0743,0.0038,-0.0656,-0.0126,0.06264971334586868,0.048373253449139696,0.2069656538497636,0.38768033608683933,0.03171078833682445,0.05939946484513168,0.03171078833682445,0.05939946484513168
158,190,33,P,15,18,2538.6,0.3,3/2,35 FS 7,691.0,0.4,8.2,1.2,[M1],0.13,0.06,3,35.0,FS,7.0,3.5e-14,7e-15,0.2327641042718969,0.1074295865870293,33P,5/2,5,2,1,True,0.1177,0.0156,-0.0202,-0.1131,0.18634641716340344,0.1614254842351062,-0.43343397818002644,-0.24173449411620143,-0.10867545796870022,-0.06061040014726022,0.10867545796870022,0.06061040014726022
153,183,32,P,15,17,512.7,0.03,0,1.83 PS 0.08,512.69,0.03,100.0,0.0,M1,0.088,0.004,0,1.83,PS,0.08,1.83e-12,8e-14,0.1575633936609763,0.0071619724391352,32P,1,2,1,1,True,-0.1272,-0.0125,0.2439,-0.1042,0.09797219601779002,0.05672393680425142,-0.11332040929306844,0.3554098090425975,-0.01936290337740013,0.06072838807062965,0.01936290337740013,0.06072838807062965
157,189,33,P,15,18,2538.6,0.3,3/2,35 FS 7,1106.8,0.3,9.4,1.2,[M1],0.037,0.015,3,35.0,FS,7.0,3.5e-14,7e-15,0.0662482450620014,0.0268573966467573,33P,3/2,3,2,1,True,-0.0099,-0.0185,-0.2903,0.3187,0.04219082088778458,0.06861211906731286,-0.14029245642661028,-0.8543815964138612,-0.010074991275228684,-0.061356735414270544,0.010074991275228684,0.061356735414270544
27,37,19,F,9,10,1554.038,0.009,3/2,3.5 FS 2.1,1554.0,0.0,2.55,0.1,M1,0.043,0.025,3,3.5,FS,2.1,3.5e-15,2.1000000000000002e-15,0.0769912037207043,0.0447623277445955,19F,1/2,1,1,1,True,-0.0066,-0.0084,-0.1078,0.1228,0.007073635815692738,0.010975107435106147,0.8354968414955177,0.7447649433696245,0.06967788115643686,0.06211111836245946,0.06967788115643686,0.06211111836245946
137,166,28,Al,13,15,2581.81,0.22,5,313 FS 25,310.2,0.0,6.0,2.0,[M1],0.13,0.05,10,313.0,FS,25.0,3.1300000000000013e-13,2.5e-14,0.2327641042718969,0.0895246554891911,28Al,4,8,1,1,True,0.0101,-0.0953,0.1251,-0.0399,0.16664407069890588,0.16224918210145808,-0.2818774669146606,-0.2480706315496775,-0.07082054242376061,-0.062326715498234375,0.07082054242376061,0.062326715498234375
29,40,19,F,9,10,3908.17,0.2,3/2,6 FS 3,2354.1,0.0,21.0,3.0,M1,0.056,0.033,3,6.0,FS,3.0,6.000000000000001e-15,3.0000000000000002e-15,0.100267614147894,0.0590862726228661,19F,3/2,3,2,1,True,-0.0257,-0.0144,-0.0962,0.1362,0.019048611606264188,0.023475088338234636,0.6598462213167109,0.5808019939600958,0.07160341935985562,0.06302591027281808,0.07160341935985562,0.06302591027281808
78,92,26,Mg,12,14,6622.94,0.14,4,19 FS 5,1146.9,0.0,19.0,2.0,[M1],0.063,0.018,8,19.0,FS,5.0,1.9e-14,5.000000000000001e-15,0.1128010659163808,0.0322288759761088,26Mg,4,8,5,3,True,0.0278,-0.002,0.0625,-0.0883,0.02839160127218078,0.02972150746941341,0.5493396623463368,0.5282300401680412,0.06715976542003403,0.06457899914595047,0.06715976542003403,0.06457899914595047
92,107,26,Al,13,13,3159.889,0.013,2,3.5 FS 0.7,2102.058,0.0,25.7,0.8,M1,0.09,0.03,4,3.5,FS,0.7,3.5e-15,7e-16,0.161144379880544,0.0537147932935146,26Al,1,2,5,1,True,0.0199,-0.0199,0.1158,-0.1158,0.051323398079016765,0.0564101043584581,0.42974002134425815,0.3732210626837989,0.07497310082593561,0.06511271692924245,0.07497310082593561,0.06511271692924245
131,159,28,Al,13,15,1013.637,0.009,3,103 FS 14,1013.676,0.021,61.0,7.0,[M1],0.078,0.016,6,103.0,FS,14.0,1.03e-13,1.4e-14,0.1396584625631381,0.0286478897565411,28Al,3,6,2,1,True,-0.0154,-0.1015,0.0085,0.1083,0.05398185326207202,0.044149817475000006,0.30792495817856386,0.4339766990384615,0.04661468688549029,0.0656968115249218,0.04661468688549029,0.0656968115249218
76,90,26,Mg,12,14,4835.13,0.05,2,28 FS 6,1896.72,0.05,100.0,0.4,M1,0.096,0.021,4,28.0,FS,6.0,2.8e-14,6.000000000000001e-15,0.1718873385392469,0.0376003553054602,26Mg,2,4,4,2,True,0.021,-0.0153,0.1358,-0.1416,0.05425742584333412,0.06180087052594413,0.4348184807986029,0.3562409320214153,0.0809862405186569,0.06635093740792432,0.0809862405186569,0.06635093740792432
71,84,23,Na,11,12,3914.6,0.4,5/2,6.9 FS 1.4,1838.0,1.0,11.3,0.3,M1,0.046,0.01,5,6.9,FS,1.4,6.900000000000001e-15,1.4e-15,0.0823626830500558,0.0179049310978382,23Na,7/2,7,2,1,True,0.0562,0.0142,-0.309,0.2386,0.0013642747201644684,0.011041420237430166,0.970341853909468,0.7599691252732572,0.08665497663723101,0.06786794419950394,0.08665497663723101,0.06786794419950394
100,116,26,Al,13,13,3680.68,0.06,3,8.3 FS 1.4,520.79,0.0,0.28,0.04,[M1],0.049,0.011,6,8.3,FS,1.4,8.300000000000002e-15,1.4e-15,0.0877341623794073,0.019695424207622,26Al,2,4,6,5,True,-0.0006,0.0006,-0.1171,0.1171,0.008417248663597766,0.012818745356653631,0.8282194150286171,0.738392951905028,0.07878348979401739,0.07023884315531786,0.07878348979401739,0.07023884315531786
147,176,28,Si,14,14,9381.55,0.12,2,1.1 FS 0.3,1122.7,0.0,0.6,0.18,(M1),0.08,0.03,4,1.1,FS,0.3,1.1000000000000001e-15,3e-16,0.1432394487827058,0.0537147932935146,28Si,2,4,6,5,True,0.0291,-0.0291,0.0201,-0.0201,0.04828472051208939,0.04326084914525698,0.3964409935988827,0.4592393856842878,0.06147884583107145,0.0712174266736069,0.06147884583107145,0.0712174266736069
69,82,23,Na,11,12,2982.0,0.5,3/2,3.3 FS 0.4,2981.7,0.8,100.0,0.3,M1,0.147,0.018,3,3.3,FS,0.4,3.3e-15,4e-16,0.2632024871382219,0.0322288759761088,23Na,3/2,3,2,1,True,-0.1577,-0.0109,0.1698,-0.0012,0.250301914347245,0.18570630407510616,-0.7027341112057486,-0.26330819098711683,-0.2004638350813,-0.07511200741775667,0.2004638350813,0.07511200741775667
136,165,28,Al,13,15,2486.2,0.06,2,66 FS 7,865.87,0.15,100.0,13.0,[M1],0.3,0.06,4,66.0,FS,7.0,6.600000000000002e-14,7e-15,0.5371479329351467,0.1074295865870293,28Al,1,2,4,2,True,-0.1498,-0.0387,-0.0253,0.2138,0.284770364802236,0.26034112453077657,0.050765450659213306,0.13219625156407808,0.029373430701255032,0.07649015982050378,0.029373430701255032,0.07649015982050378
133,161,28,Al,13,15,1620.3,0.04,1,92 FS 22,647.93,0.07,4.4,2.5,[M1],0.034,0.022,2,92.0,FS,22.0,9.200000000000001e-14,2.2e-14,0.0608767657326499,0.039390848415244,28Al,0,0,2,1,True,-0.0254,-0.0113,-0.217,0.2537,0.055658296522552025,0.07444001729664805,-0.6370087212515301,-1.1894122734308248,-0.04201662482984947,-0.07845275518767675,0.04201662482984947,0.07845275518767675
52,63,20,F,9,11,3488.41,0.03,1,8.1 FS 0.5,3488.13,0.04,72.6,2.5,[M1],0.0458,0.0032,2,8.1,FS,0.5,8.1e-15,5e-16,0.082004584428099,0.0057295779513082,20F,2,4,3,1,True,-0.007,-0.0189,-0.0948,0.1207,0.0021186843300608376,0.004494140423150838,0.9537405168108988,0.9018746632499818,0.08481645136762804,0.0802040043040393,0.08481645136762804,0.0802040043040393
30,41,19,F,9,10,3908.17,0.2,3/2,6 FS 3,3908.2,0.0,48.0,2.0,M1,0.12,0.07,3,6.0,FS,3.0,6.000000000000001e-15,3.0000000000000002e-15,0.2148591731740587,0.1253345176848675,19F,1/2,1,2,1,True,0.0163,-0.0088,0.2069,-0.2144,0.06143616204286173,0.0782592715863743,0.48803198297615225,0.3478394034468808,0.11268007836450586,0.08031148081656105,0.11268007836450586,0.08031148081656105
9,17,18,F,9,9,6163.2,0.9,3,14.0 KEV 0.5,3640.0,0.0,5.5,0.4,M1,0.052,0.017,6,14.0,KEV,0.5,3.258781958889685e-20,9.124589484891121e-19,0.0931056417087587,0.0304383828663249,18F,2,4,4,1,True,-0.0125,0.0125,0.1954,-0.1954,0.0033771298882681548,0.010227561330256983,0.9350551944563816,0.8033161282642888,0.0943619437045888,0.08106737625935842,0.0943619437045888,0.08106737625935842
72,85,23,Na,11,12,4429.63,0.16,1/2,0.21 FS 0.02,4429.2,0.0,100.0,3.0,M1,1.1,0.12,1,0.21,FS,0.02,2.1e-16,2e-17,1.969542420762205,0.2148591731740587,23Na,3/2,3,2,1,True,-0.2232,-0.0087,-0.2334,0.4652,1.1694661096104613,1.1439583485457878,-0.06315100873678288,-0.039962135041625206,-0.13136660573734393,-0.08312915570860778,0.13136660573734393,0.08312915570860778
101,117,26,Al,13,13,3723.81,0.04,1,4.2 FS 1.4,3495.25,0.0,100.0,0.1,M1,0.12,0.04,2,4.2,FS,1.4,4.2000000000000004e-15,1.4e-15,0.2148591731740587,0.0716197243913529,26Al,0,0,5,1,True,0.0234,-0.0234,0.1328,-0.1328,0.06963005947745253,0.07625208580326258,0.4197495043545622,0.36456595163947847,0.09751202580980449,0.0846923322525619,0.09751202580980449,0.0846923322525619
