,Index,A,Element,Z,N,Energy (keV),Energy Unc (keV),Ji,Thalf,E_gamma (keV),E_gamma Unc (keV),I_gamma,I_gamma Unc,Mult,B_exp (W.u.),B_exp Unc (W.u.),twoJi,Thalf Value,Thalf Units,Thalf Unc,Thalf (sec),Thalf Unc (sec),B_exp (mu_N^2),B_exp Unc (mu_N^2),Nucleus,Jf,twoJf,ni,nf,Include,Mth_sp,Mth_sn,Mth_lp,Mth_ln,B_th_free (W.u.),B_th_brown (W.u.),B_rel_err_free,B_rel_err_brown,B_residual_free,B_residual_brown,B_residual_free (Abs),B_residual_brown (Abs)
141,170,27,Si,14,13,957.4,0.2,3/2,1.20 PS 0.08,176.4,0.0,6.42,0.29,(M1),0.17,0.06,3,1.2,PS,0.08,1.2e-12,8e-14,0.3043838286632498,0.1074295865870293,27Si,1/2,1,1,1,True,0.0083,-0.0141,0.1967,-0.1909,0.049282799613061215,0.06380696129032963,0.7101011787466988,0.6246649335862963,0.23282752830060358,0.2048147459206484,0.23282752830060358,0.2048147459206484
98,114,26,Al,13,13,3596.34,0.04,3,18 FS 3,1526.82,0.0,100.0,0.22,[M1],0.32,0.06,6,18.0,FS,3.0,1.8000000000000002e-14,3.0000000000000002e-15,0.5729577951308232,0.1074295865870293,26Al,2,4,5,2,True,0.068,-0.068,0.2291,-0.2291,0.4219902913162011,0.4304122150652572,-0.3187196603631284,-0.3450381720789286,-0.19670889783473527,-0.21295228058171486,0.19670889783473527,0.21295228058171486
61,73,22,Ne,10,12,5523.3,0.6,4,21 FS 3,2166.1,0.5,100.0,0.6,M1,0.102,0.015,8,21.0,FS,3.0,2.1e-14,3.0000000000000002e-15,0.1826302971979499,0.0268573966467573,22Ne,4,8,2,1,True,0.0352,-0.0442,0.2255,-0.2166,0.19528696836246368,0.2140830527833799,-0.9145781212006244,-1.0988534586605876,-0.18106295953229976,-0.21754473970599697,0.18106295953229976,0.21754473970599697
159,193,33,P,15,18,4048.4,0.5,5/2,62 FS 21,772.4,0.0,9.0,4.0,[M1],0.05,0.03,5,62.0,FS,21.0,6.2e-14,2.1e-14,0.0895246554891911,0.0537147932935146,33P,3/2,3,3,3,True,0.1094,0.0428,0.0968,-0.249,0.16539420492000204,0.16658869020639117,-2.3078840984000406,-2.331773804127823,-0.22368721476284367,-0.22600267841175753,0.22368721476284367,0.22600267841175753
1,2,18,O,8,10,5254.8,0.9,2,7.0 FS 0.3,1334.0,0.0,8.7,0.4,M1,0.111,0.008,4,7.0,FS,0.3,7e-15,3e-16,0.1987447351860043,0.0143239448782705,18O,2,4,3,2,True,0.0,0.1849,0.0,-0.1849,0.27962682197957367,0.22865093883575416,-1.5191605583745376,-1.059918367889677,-0.3273912241765991,-0.22842086708856754,0.3273912241765991,0.22842086708856754
164,199,34,Cl,17,17,2580.4,0.2,1,33 FS 8,2580.3,0.0,100.0,0.0,M1,0.038,0.01,2,33.0,FS,8.0,3.3000000000000005e-14,8e-15,0.0680387381717852,0.0179049310978382,34Cl,0,0,3,1,True,-0.0393,0.0393,-0.1513,0.1513,0.1517545720170726,0.1574511189528994,-2.9935413688703316,-3.1434504987605103,-0.22084103526308735,-0.2319002067796744,0.22084103526308735,0.2319002067796744
88,102,26,Al,13,13,2545.367,0.017,3,0.69 PS 0.17,475.892,0.0,100.0,1.5,[M1],0.2,0.05,6,0.69,PS,0.17,6.899999999999999e-13,1.7e-13,0.3580986219567645,0.0895246554891911,26Al,2,4,3,2,True,0.0146,-0.0146,0.1997,-0.1997,0.06348975311231285,0.07916819211848602,0.6825512344384357,0.6041590394075699,0.263827941235692,0.23352684385220224,0.263827941235692,0.23352684385220224
94,109,26,Al,13,13,3159.889,0.013,2,3.5 FS 0.7,1400.814,0.0,23.1,0.6,[M1],0.34,0.07,4,3.5,FS,0.7,3.5e-15,7e-16,0.6087676573264997,0.1253345176848675,26Al,2,4,5,1,True,0.0613,-0.0613,0.3027,-0.3027,0.43228713665439106,0.46403223282306705,-0.27143275486585594,-0.3648006847737265,-0.17756557891344846,-0.23864490787739293,0.17756557891344846,0.23864490787739293
33,44,19,F,9,10,6070.0,1.0,7/2,1.2 KEV,1692.0,0.0,4.0,1.0,M1,0.25,0.1,7,1.2,KEV,0.0,3.8019122853713e-19,,0.4476232774459556,0.1790493109783822,19F,7/2,7,3,1,True,0.0191,0.1021,-0.1753,0.0541,0.1178416826616143,0.12452980008094414,0.5286332693535428,0.5018807996762235,0.2519129886369394,0.2391644633727728,0.2519129886369394,0.2391644633727728
90,105,26,Al,13,13,2913.4,0.05,2,68 FS 4,843.92,0.0,100.0,1.3,[M1],0.365,0.023,4,68.0,FS,4.0,6.8e-14,4e-15,0.6535299850710953,0.0411813415250279,26Al,2,4,4,2,True,0.0799,-0.0799,-0.0328,0.0328,0.2889808280857206,0.239066463074771,0.208271703874738,0.34502338883624384,0.14746305584651145,0.24428764114260867,0.14746305584651145,0.24428764114260867
