,Index,A,Element,Z,N,Energy (keV),Energy Unc (keV),Ji,Thalf,E_gamma (keV),E_gamma Unc (keV),I_gamma,I_gamma Unc,Mult,B_exp (W.u.),B_exp Unc (W.u.),twoJi,Thalf Value,Thalf Units,Thalf Unc,Thalf (sec),Thalf Unc (sec),B_exp (mu_N^2),B_exp Unc (mu_N^2),Nucleus,Jf,twoJf,ni,nf,Include,Mth_sp,Mth_sn,Mth_lp,Mth_ln,Bth_free,Bth_brown,B_th_free,B_th_brown,B_rel_err_free,B_rel_err_brown,B_th_free (W.u.),B_th_brown (W.u.)
79,93,31,Mg,12,19,50.1,0.2,3/2,16 NS 3,50.2,0.2,100.0,0.0,[M1],0.0106,0.0021,3,16.0,NS,3.0,1.6e-08,3e-09,0.0189792269637085,0.003760035530546,31Mg,1/2,1,1,1,True,-0.0189,-0.012,-0.123,0.1539,0.0333625312060569,0.044581366449,0.0333625312060569,0.044581366449,-0.7583288292430116,-1.3496029539896701,0.018638285589975923,0.024905791312290503
167,202,38,K,19,19,1697.65,0.25,1,48 FS 10,1567.4,0.2,100.0,0.0,M1,0.119,0.032,2,48.0,FS,10.0,4.8e-14,1.0000000000000002e-14,0.2130686800642748,0.0572957795130823,38K,0,0,2,1,True,-0.1499,0.1499,0.4849,-0.4849,0.8573996992974403,0.48788814040201,0.8573996992974403,0.48788814040201,-3.0251617261980206,-1.2904471170461953,0.4789942454175644,0.2725632069284972
47,58,20,F,9,11,2966.11,0.03,3,3.6 FS 0.8,771.71,0.1,2.4,0.6,[M1],0.31,0.1,6,3.6,FS,0.8,3.6e-15,8.000000000000001e-16,0.555052864032985,0.1790493109783822,20F,3,6,3,2,True,0.1933,0.0134,0.1207,-0.3274,1.3205305307806918,1.2483197378932902,1.3205305307806918,1.2483197378932902,-1.3797630758347303,-1.2496300917161476,0.7377265535087664,0.6973853284320057
16,25,18,F,9,9,6283.2,0.9,2,10.0 KEV 0.5,4582.0,0.0,5.7,0.6,M1,0.05,0.015,4,10.0,KEV,0.5,4.562294742445559e-20,9.124589484891121e-19,0.0895246554891911,0.0268573966467573,18F,1,2,5,2,True,0.0424,-0.0424,0.0592,-0.0592,0.21001029305344002,0.19609026091264,0.21001029305344002,0.19609026091264,-1.3464837212674858,-1.1909526358954194,0.1173241860633743,0.10954763179477098
133,161,28,Al,13,15,1620.3,0.04,1,92 FS 22,647.93,0.07,4.4,2.5,[M1],0.034,0.022,2,92.0,FS,22.0,9.200000000000001e-14,2.2e-14,0.0608767657326499,0.039390848415244,28Al,0,0,2,1,True,-0.0254,-0.0113,-0.217,0.2537,0.09962835077536812,0.13324763096100004,0.09962835077536812,0.13324763096100004,-0.6370087212515301,-1.1894122734308248,0.055658296522552025,0.07444001729664805
61,73,22,Ne,10,12,5523.3,0.6,4,21 FS 3,2166.1,0.5,100.0,0.6,M1,0.102,0.015,8,21.0,FS,3.0,2.1e-14,3.0000000000000002e-15,0.1826302971979499,0.0268573966467573,22Ne,4,8,2,1,True,0.0352,-0.0442,0.2255,-0.2166,0.34956367336881,0.38320866448224994,0.34956367336881,0.38320866448224994,-0.9145781212006244,-1.0988534586605876,0.19528696836246368,0.2140830527833799
1,2,18,O,8,10,5254.8,0.9,2,7.0 FS 0.3,1334.0,0.0,8.7,0.4,M1,0.111,0.008,4,7.0,FS,0.3,7e-15,3e-16,0.1987447351860043,0.0143239448782705,18O,2,4,3,2,True,0.0,0.1849,0.0,-0.1849,0.5005320113434368,0.40928518051599994,0.5005320113434368,0.40928518051599994,-1.5191605583745376,-1.059918367889677,0.27962682197957367,0.22865093883575416
106,122,26,Al,13,13,3753.63,0.13,0,5 FS 2,2695.74,0.0,100.0,0.5,[M1],0.19,0.08,0,5.0,FS,2.0,5.000000000000001e-15,2e-15,0.3401936908589263,0.1432394487827058,26Al,1,2,2,1,True,0.036,-0.036,0.4171,-0.4171,0.571433188624,0.6958194021324102,0.571433188624,0.6958194021324102,-0.6801916748720966,-1.0459259104157894,0.31923641822569837,0.388725922979
85,99,26,Al,13,13,2069.47,0.03,2,14 FS 2,218.85,0.0,0.053,0.013,[M1],0.06,0.017,4,14.0,FS,2.0,1.4e-14,2e-15,0.1074295865870293,0.0304383828663249,26Al,1,2,2,2,True,-0.0585,0.0585,0.0391,-0.0391,0.261634296004,0.21170498501881002,0.261634296004,0.21170498501881002,-1.436073519590317,-0.971182355854842,0.146164411175419,0.11827094135129051
50,61,20,F,9,11,2966.11,0.03,3,3.6 FS 0.8,2143.26,0.03,58.3,1.6,[M1],0.357,0.076,6,3.6,FS,0.8,3.6e-15,8.000000000000001e-16,0.6392060401928247,0.1360774763435705,20F,4,8,3,1,True,0.2018,-0.0131,0.0108,-0.1995,1.4116262591510638,1.2460078115078403,1.4116262591510638,1.2460078115078403,-1.2090140668686349,-0.9498424354221875,0.7886180218721026,0.6960937494457209
74,87,23,Na,11,12,6115.1,0.6,11/2,35 FS 9,3411.0,1.0,100.0,0.9,M1,0.012,0.004,11,35.0,FS,9.0,3.5e-14,9.000000000000001e-15,0.0214859173174058,0.0071619724391352,23Na,9/2,9,2,1,True,0.0303,-0.0067,0.0179,-0.0415,0.04527657104372639,0.04174302558321,0.04527657104372639,0.04174302558321,-1.1078478139537427,-0.9433438353449718,0.025294173767444913,0.023320126024139663
157,189,33,P,15,18,2538.6,0.3,3/2,35 FS 7,1106.8,0.3,9.4,1.2,[M1],0.037,0.015,3,35.0,FS,7.0,3.5e-14,7e-15,0.0662482450620014,0.0268573966467573,33P,3/2,3,2,1,True,-0.0099,-0.0185,-0.2903,0.3187,0.0755215693891344,0.12281569313049004,0.0755215693891344,0.12281569313049004,-0.14029245642661028,-0.8543815964138612,0.04219082088778458,0.06861211906731286
145,174,28,Si,14,14,9381.55,0.12,2,1.1 FS 0.3,3105.0,0.0,4.48,0.23,(M1),0.027,0.008,4,1.1,FS,0.3,1.1000000000000001e-15,3e-16,0.0483433139641632,0.0143239448782705,28Si,3,6,6,1,True,0.0436,-0.0436,-0.0671,0.0671,0.11782962447424003,0.08732740124640996,0.11782962447424003,0.08732740124640996,-1.4380224389455822,-0.8068984325762458,0.06582660585153072,0.04878625767955864
84,98,26,Al,13,13,2069.47,0.03,2,14 FS 2,310.43,0.0,0.23,0.03,[M1],0.091,0.018,4,14.0,FS,2.0,1.4e-14,2e-15,0.1629348729903278,0.0322288759761088,26Al,2,4,2,1,True,-0.0618,0.0618,0.008,-0.008,0.32908763131456,0.27843351822400003,0.32908763131456,0.27843351822400003,-1.0203059200353612,-0.7093346321075575,0.18384783872321786,0.15554945152178773
103,119,26,Al,13,13,3750.9,0.04,2,22 FS 6,591.0,0.0,23.2,1.4,[M1],0.76,0.22,4,22.0,FS,6.0,2.2e-14,6.000000000000001e-15,1.3607747634357052,0.3939084841524409,26Al,2,4,6,5,True,-0.1277,0.1277,-0.2968,0.2968,2.2461388579137602,2.1954147389262406,2.2461388579137602,2.1954147389262406,-0.651087075796648,-0.6138008960057635,1.2548261776054526,1.2264886809643802
82,96,26,Al,13,13,1850.62,0.03,1,32 FS 3,1622.0,0.7,100.0,0.1,M1,0.16,0.015,2,32.0,FS,3.0,3.2e-14,3.0000000000000002e-15,0.2864788975654116,0.0268573966467573,26Al,0,0,2,1,True,0.0975,-0.0975,-0.1505,0.1505,0.5885498089000001,0.43596373590025,0.5885498089000001,0.43596373590025,-1.0549923495111733,-0.5222197482550628,0.32879877592178774,0.24355515972081004
83,97,26,Al,13,13,2069.47,0.03,2,14 FS 2,1011.71,0.0,100.0,1.2,[M1],1.14,0.17,4,14.0,FS,2.0,1.4e-14,2e-15,2.041162145153557,0.3043838286632498,26Al,1,2,2,1,True,0.1268,-0.1268,0.5151,-0.5151,2.9191143989305592,3.05033176109601,2.9191143989305592,3.05033176109601,-0.4305176903511514,-0.4948210139645254,1.6307901670003124,1.7040959559195588
107,123,26,Al,13,13,3753.63,0.13,0,5 FS 2,1902.93,0.0,3.0,0.4,[M1],0.017,0.007,0,5.0,FS,2.0,5.000000000000001e-15,2e-15,0.0304383828663249,0.0125334517684867,26Al,1,2,2,2,True,-0.0053,0.0053,-0.1318,0.1318,0.03300893050896,0.04440637427524,0.03300893050896,0.04440637427524,-0.08474960594676291,-0.4592959012566549,0.01844074330109497,0.024808030321363136
89,104,26,Al,13,13,2740.03,0.03,1,31 FS 3,2511.59,0.0,100.0,0.2,M1,0.044,0.005,2,31.0,FS,3.0,3.1e-14,3.0000000000000002e-15,0.0787816968304881,0.0089524655489191,26Al,0,0,4,1,True,0.0513,-0.0513,-0.0902,0.0902,0.15416271438735993,0.11132245596003996,0.15416271438735993,0.11132245596003996,-0.9573732146693751,-0.4134390040634836,0.0861244214454525,0.062191316178793275
93,108,26,Al,13,13,3159.889,0.013,2,3.5 FS 0.7,614.514,0.0,2.24,0.08,[M1],0.39,0.08,4,3.5,FS,0.7,3.5e-15,7e-16,0.6982923128156908,0.1432394487827058,26Al,3,6,5,3,True,-0.0728,0.0728,-0.2754,0.2754,0.9227400643609601,0.9551829203571601,0.9227400643609601,0.9551829203571601,-0.3217878016916776,-0.36826088004177027,0.5154972426597543,0.5336217432162904
94,109,26,Al,13,13,3159.889,0.013,2,3.5 FS 0.7,1400.814,0.0,23.1,0.6,[M1],0.34,0.07,4,3.5,FS,0.7,3.5e-15,7e-16,0.6087676573264997,0.1253345176848675,26Al,2,4,5,1,True,0.0613,-0.0613,0.3027,-0.3027,0.77379397461136,0.83061769675329,0.77379397461136,0.83061769675329,-0.27143275486585594,-0.3648006847737265,0.43228713665439106,0.46403223282306705
86,100,26,Al,13,13,2069.47,0.03,2,14 FS 2,1652.56,0.0,28.4,1.1,[M1],0.075,0.011,4,14.0,FS,2.0,1.4e-14,2e-15,0.1342869832337866,0.019695424207622,26Al,3,6,2,1,True,0.0433,-0.0433,0.0407,-0.0407,0.20091873900816,0.18279412846249005,0.20091873900816,0.18279412846249005,-0.4966014078820108,-0.361594997858399,0.1122451055911508,0.10211962483937992
