,Index,A,Element,Z,N,Energy (keV),Energy Unc (keV),Ji,Thalf,E_gamma (keV),E_gamma Unc (keV),I_gamma,I_gamma Unc,Mult,B_exp (W.u.),B_exp Unc (W.u.),twoJi,Thalf Value,Thalf Units,Thalf Unc,Thalf (sec),Thalf Unc (sec),B_exp (mu_N^2),B_exp Unc (mu_N^2),Nucleus,Jf,twoJf,ni,nf,Include,Mth_sp,Mth_sn,Mth_lp,Mth_ln,Bth_free,Bth_brown,B_th_free,B_th_brown,B_rel_err_free,B_rel_err_brown,B_th_free (W.u.),B_th_brown (W.u.)
104,120,26,Al,13,13,3753.63,0.13,0,5 FS 2,1681.93,0.0,11.0,0.3,[M1],0.09,0.04,0,5.0,FS,2.0,5.000000000000001e-15,2e-15,0.161144379880544,0.0716197243913529,26Al,1,2,2,3,True,0.0606,-0.0606,-0.2533,0.2533,0.10053160931583996,0.044457005612889997,0.10053160931583996,0.044457005612889997,0.37596766408541304,0.724040933501614,0.056162910232312825,0.024836315984854737
100,116,26,Al,13,13,3680.68,0.06,3,8.3 FS 1.4,520.79,0.0,0.28,0.04,[M1],0.049,0.011,6,8.3,FS,1.4,8.300000000000002e-15,1.4e-15,0.0877341623794073,0.019695424207622,26Al,2,4,6,5,True,-0.0006,0.0006,-0.1171,0.1171,0.01506687510784,0.02294555418841,0.01506687510784,0.02294555418841,0.8282194150286171,0.738392951905028,0.008417248663597766,0.012818745356653631
27,37,19,F,9,10,1554.038,0.009,3/2,3.5 FS 2.1,1554.0,0.0,2.55,0.1,M1,0.043,0.025,3,3.5,FS,2.1,3.5e-15,2.1000000000000002e-15,0.0769912037207043,0.0447623277445955,19F,1/2,1,1,1,True,-0.0066,-0.0084,-0.1078,0.1228,0.012661808110090001,0.019645442308840005,0.012661808110090001,0.019645442308840005,0.8354968414955177,0.7447649433696245,0.007073635815692738,0.010975107435106147
71,84,23,Na,11,12,3914.6,0.4,5/2,6.9 FS 1.4,1838.0,1.0,11.3,0.3,M1,0.046,0.01,5,6.9,FS,1.4,6.900000000000001e-15,1.4e-15,0.0823626830500558,0.0179049310978382,23Na,7/2,7,2,1,True,0.0562,0.0142,-0.309,0.2386,0.0024420517490943983,0.019764142225000003,0.0024420517490943983,0.019764142225000003,0.970341853909468,0.7599691252732572,0.0013642747201644684,0.011041420237430166
155,185,32,P,15,17,2657.53,0.09,2,8.3 FS 2.8,902.51,0.14,10.0,3.0,(M1),0.24,0.11,4,8.3,FS,2.8,8.300000000000002e-15,2.8e-15,0.4297183463481174,0.1969542420762204,32P,3,6,4,1,True,0.021,-0.0717,-0.0371,0.0878,0.12570244775206807,0.09720932501281,0.12570244775206807,0.09720932501281,0.707396536889972,0.773721310491597,0.07022483114640674,0.054306885482016745
9,17,18,F,9,9,6163.2,0.9,3,14.0 KEV 0.5,3640.0,0.0,5.5,0.4,M1,0.052,0.017,6,14.0,KEV,0.5,3.258781958889685e-20,9.124589484891121e-19,0.0931056417087587,0.0304383828663249,18F,2,4,4,1,True,-0.0125,0.0125,0.1954,-0.1954,0.0060450624999999975,0.01830733478116,0.0060450624999999975,0.01830733478116,0.9350551944563816,0.8033161282642888,0.0033771298882681548,0.010227561330256983
35,46,19,F,9,10,6330.0,2.0,7/2,2.4 KEV,1952.0,0.0,18.0,2.0,M1,0.22,0.06,7,2.4,KEV,0.0,1.9009561426856504e-19,,0.3939084841524409,0.1074295865870293,19F,7/2,7,4,1,True,-0.0034,0.0523,-0.0417,-0.0072,0.06802022343919688,0.06292938496329001,0.06802022343919688,0.06292938496329001,0.8272721598801501,0.8401996318860081,0.03800012482636697,0.03515608098507821
2,4,19,O,8,11,96.0,0.5,3/2,1.39 NS 0.05,96.0,0.0,100.0,0.0,M1,0.088,0.038,3,1.39,NS,0.05,1.39e-09,5.000000000000001e-11,0.1575633936609763,0.0680387381717852,19O,5/2,5,1,1,True,0.0,-0.0439,0.0,0.0439,0.028215456166684895,0.023071787236,0.028215456166684895,0.023071787236,0.8208769923394814,0.8535310612239715,0.01576282467412564,0.012889266612290503
52,63,20,F,9,11,3488.41,0.03,1,8.1 FS 0.5,3488.13,0.04,72.6,2.5,[M1],0.0458,0.0032,2,8.1,FS,0.5,8.1e-15,5e-16,0.082004584428099,0.0057295779513082,20F,2,4,3,1,True,-0.007,-0.0189,-0.0948,0.1207,0.0037924449508088998,0.008044511357440002,0.0037924449508088998,0.008044511357440002,0.9537405168108988,0.9018746632499818,0.0021186843300608376,0.004494140423150838
24,34,18,F,9,9,6484.9,1.5,3,0.40 KEV 0.1,2646.0,0.0,9.0,2.0,M1,0.017,0.006,6,0.4,KEV,0.1,1.1405736856113897e-18,4.562294742445559e-18,0.0304383828663249,0.0107429586587029,18F,2,4,6,3,True,-0.0079,0.0079,0.094,-0.094,0.00038593388304000004,0.002369352975999999,0.00038593388304000004,0.002369352975999999,0.9873173222793296,0.9221375952678278,0.00021560552125139635,0.001323660880446927
37,48,19,F,9,10,6592.0,2.0,9/2,7.6 EV 1.8,3812.0,0.0,63.0,3.0,M1,0.35,0.07,9,7.6,EV,1.8,6.003019397954684e-20,2.534608190247533e-19,0.6266725884243378,0.1253345176848675,19F,9/2,9,2,1,True,0.0039,-0.0704,-0.0493,0.1158,0.058494203808062493,0.04098369460249001,0.058494203808062493,0.04098369460249001,0.9066333538578412,0.9345830892218835,0.032678326149755584,0.022895918772340786
97,113,26,Al,13,13,3159.889,0.013,2,3.5 FS 0.7,794.726,0.0,0.35,0.08,[M1],0.028,0.009,4,3.5,FS,0.7,3.5e-15,7e-16,0.050133807073947,0.0161144379880544,26Al,3,6,5,2,True,0.0022,-0.0022,-0.0525,0.0525,0.00101083300096,0.0021559770562499993,0.00101083300096,0.0021559770562499993,0.9798317437956904,0.9569836979998004,0.0005647111737206703,0.0012044564560055866
56,67,22,F,9,13,709.1,0.3,2,57 FS 28,637.4,0.2,100.0,7.0,[M1],1.5,0.8,4,57.0,FS,28.0,5.700000000000001e-14,2.8e-14,2.685739664675734,1.4323944878270582,22F,3,6,2,1,True,-0.0593,-0.0301,-0.1028,0.1922,0.10167194193374443,0.11221374428224003,0.10167194193374443,0.11221374428224003,0.9621333549594993,0.9582071715894823,0.05679996756075108,0.06268924261577655
31,42,19,F,9,10,5500.7,1.7,3/2,4 KEV 1,3946.7,0.0,11.0,0.0,M1,0.18,0.0,3,4.0,KEV,1.0,1.1405736856113902e-19,4.562294742445562e-19,0.322288759761088,0.0,19F,3/2,3,3,1,True,-0.0227,-0.0351,0.084,-0.0262,0.008373666479907598,0.011537767396,0.008373666479907598,0.011537767396,0.9740109668531731,0.9641906660583489,0.004678025966428826,0.006445680109497206
20,29,18,F,9,9,6310.5,0.8,3,0.95 KEV 0.14,3249.0,0.0,57.0,3.0,M1,0.14,0.03,6,0.95,KEV,0.14,4.802415518363747e-19,3.258781958889685e-18,0.2506690353697351,0.0537147932935146,18F,2,4,5,2,True,0.0105,-0.0105,-0.1442,0.1442,0.0020587998759999996,0.007877592033639996,0.0020587998759999996,0.007877592033639996,0.9917845176536313,0.9685650756837988,0.00115016752849162,0.004400889404268156
12,21,18,F,9,9,6283.2,0.9,2,10.0 KEV 0.5,1923.0,0.0,0.5,0.4,M1,0.06,0.05,4,10.0,KEV,0.5,4.562294742445559e-20,9.124589484891121e-19,0.1074295865870293,0.0895246554891911,18F,1,2,5,4,True,0.0438,-0.0438,-0.3404,0.3404,0.005161790239360002,0.0019447747201599965,0.005161790239360002,0.0019447747201599965,0.9519386383672253,0.9818922279314711,0.0028836816979664814,0.0010864663241117306
144,173,28,Si,14,14,8588.71,0.1,3,11 FS 2,789.7,0.0,0.59,0.1,[M1],0.021,0.006,6,11.0,FS,2.0,1.1e-14,2e-15,0.0376003553054602,0.0107429586587029,28Si,3,6,3,2,True,0.0477,0.0477,-0.0477,-0.0477,0.0013121332586244015,0.0006415430436900012,0.0013121332586244015,0.0006415430436900012,0.9650935552374461,0.9829331459513168,0.0007330353400136321,0.00035840393502234707
11,19,18,F,9,9,6163.2,0.9,3,14.0 KEV 0.5,2324.0,0.0,25.0,1.6,M1,0.91,0.23,6,14.0,KEV,0.5,3.258781958889685e-20,9.124589484891121e-19,1.6293487299032785,0.4118134152502792,18F,2,4,4,3,True,0.0338,-0.0338,-0.1073,0.1073,0.04444743361535998,0.02561353778929,0.04444743361535998,0.02561353778929,0.9727132214283505,0.9842755615511757,0.024830968500201105,0.01430923898843016
25,35,18,F,9,9,6484.9,1.5,3,0.40 KEV 0.1,1521.0,0.0,2.0,2.0,M1,0.02,0.02,6,0.4,KEV,0.1,1.1405736856113897e-18,4.562294742445559e-18,0.0358098621956764,0.0358098621956764,18F,2,4,6,4,True,0.0399,0.0399,-0.0399,-0.0399,0.0009180936360036006,0.0004488847316100005,0.0009180936360036006,0.0004488847316100005,0.9743549263686144,0.9874613203460892,0.0005129014726277094,0.0002507735930782128
6,14,18,F,9,9,4360.15,0.26,1,19 FS 7,1298.0,0.0,100.0,0.0,M1,0.5,0.2,2,19.0,FS,7.0,1.9e-14,7e-15,0.8952465548919113,0.3580986219567645,18F,2,4,4,2,True,0.1352,0.1352,-0.1352,-0.1352,0.010541309599974404,0.00515397639744001,0.010541309599974404,0.00515397639744001,0.988222000446956,0.9942413671536983,0.0058889997765220106,0.0028793164231508445
18,27,18,F,9,9,6310.5,0.8,3,0.95 KEV 0.14,2195.0,0.0,2.4,1.7,M1,0.018,0.014,6,0.95,KEV,0.14,4.802415518363747e-19,3.258781958889685e-18,0.0322288759761088,0.0250669035369735,18F,3,6,5,3,True,-0.0212,-0.0212,0.0212,0.0212,0.0002591868165184006,0.00012672455184000044,0.0002591868165184006,0.00012672455184000044,0.9919557164333209,0.9960668978324022,0.00014479710420022367,7.079583901676003e-05
17,26,18,F,9,9,6283.2,0.9,2,10.0 KEV 0.5,2167.0,0.0,3.9,0.2,M1,0.33,0.11,4,10.0,KEV,0.5,4.562294742445559e-20,9.124589484891121e-19,0.5908627262286614,0.1969542420762204,18F,3,6,5,3,True,-0.071,-0.071,0.071,0.071,0.002907086022760002,0.0014213654010000025,0.002907086022760002,0.0014213654010000025,0.9950785745340105,0.9975937609598781,0.0016240704037765365,0.000794058883240224
21,30,18,F,9,9,6385.5,1.7,2,0.49 KEV 0.09,4685.0,0.0,6.8,1.7,M1,0.014,0.007,4,0.49,KEV,0.09,9.310805596827677e-19,5.0692163804950674e-18,0.0250669035369735,0.0125334517684867,18F,1,2,6,2,True,0.0124,0.0124,-0.0124,-0.0124,8.867160223359999e-05,4.335432336000004e-05,8.867160223359999e-05,4.335432336000004e-05,0.9964616280034477,0.9982699791157224,4.9537207951731833e-05,2.422029237988829e-05
15,24,18,F,9,9,6283.2,0.9,2,10.0 KEV 0.5,2444.0,0.0,15.8,1.4,M1,0.91,0.29,4,10.0,KEV,0.5,4.562294742445559e-20,9.124589484891121e-19,1.6293487299032785,0.5192430018373085,18F,2,4,5,3,True,-0.0925,-0.0925,0.0925,0.0925,0.004934289780250002,0.0024125288062500075,0.004934289780250002,0.0024125288062500075,0.9969707840995456,0.998518921476917,0.0027565864694134067,0.0013477814560055904
23,33,18,F,9,9,6484.9,1.5,3,0.40 KEV 0.1,3423.0,0.0,21.0,3.0,M1,0.019,0.007,6,0.4,KEV,0.1,1.1405736856113897e-18,4.562294742445559e-18,0.0340193690858926,0.0125334517684867,18F,2,4,6,2,True,-0.0067,-0.0067,0.0067,0.0067,2.5887540480400034e-05,1.2657229290000002e-05,2.5887540480400034e-05,1.2657229290000002e-05,0.9992388256253926,0.999627838009703,1.4462313117541918e-05,7.071077815642463e-06
10,18,18,F,9,9,6163.2,0.9,3,14.0 KEV 0.5,3101.0,0.0,1.3,0.3,M1,0.019,0.01,6,14.0,KEV,0.5,3.258781958889685e-20,9.124589484891121e-19,0.0340193690858926,0.0179049310978382,18F,2,4,4,2,True,0.0003,0.0003,-0.0003,-0.0003,5.190195240000002e-08,2.537649000000006e-08,5.190195240000002e-08,2.537649000000006e-08,0.9999984739208351,0.9999992538521023,2.8995504134078253e-08,1.417681005586594e-08
