,GlobalIndex,A,Element,Z,N,Energy (keV),Energy Unc (keV),Ji,Thalf,E_gamma (keV),E_gamma Unc (keV),I_gamma,I_gamma Unc,Mult,Mult Ratio,Mult Ratio Unc,Conv Coef,Conv Coef Unc,B_exp (W.u.),B_exp Unc (W.u.),twoJi,Thalf Value,Thalf Units,Thalf Unc,Thalf (sec),Thalf Unc (sec),B_exp (e^2fm^4),B_exp Unc (e^2fm^4),Nucleus,Jf,twoJf,ni,nf,Include,Mth_p,Mth_n,B_th (W.u.),B_th_free (W.u.),B_th_brown (W.u.),B_rel_err_free,B_rel_err_brown,B_residual_free,B_residual_brown,B_residual_free (Abs),B_residual_brown (Abs)
155,186,27,Si,14,13,2647.6,0.3,5/2,17 FS 2,1866.6,0.0,3.9,1.3,(E2),,,,,9.0,3.0,5,17.0,FS,2.0,1.7e-14,2e-15,43.30570860119036,14.435236200396789,27Si,1/2,1,2,1,True,-1.0085,-1.2372,8.680767793677,10.594891678829255,8.672337617214321,-0.17721018653658385,0.03640693142063098,-0.3164411558343026,0.06501122584590416,0.3164411558343026,0.06501122584590416
33,38,19,Ne,10,9,238.27,0.11,5/2,18.0 NS 0.5,238.3,0.0,100.0,0.0,E2,,,,,13.2,0.5,5,18.0,NS,0.5,1.8000000000000002e-08,5e-10,39.755420681764775,1.5058871470365445,19Ne,1/2,1,1,1,True,-1.2263,-0.6377,13.394530306831088,15.747415707024158,12.916967311510005,-0.19298603841092116,0.021441870340151086,-0.6242522280947366,0.0693580501707438,0.6242522280947366,0.0693580501707438
76,84,25,Mg,12,13,585.045,0.021,1/2,3.38 NS 0.06,585.028,0.03,100.0,0.0,E2,,,,,0.563,0.01,1,3.38,NS,0.06,3.38e-09,6e-11,2.4448151455820235,0.0434247805609595,25Mg,5/2,5,1,1,True,-0.1598,-0.8185,0.7954617799519759,1.0647956432747285,0.8672105179525844,-0.891288886811241,-0.5403383977843419,-0.1238997811481808,-0.07511347916718385,0.1238997811481808,0.07511347916718385
213,264,35,Cl,17,18,4111.98,0.24,7/2,49 FS 11,4111.7,0.0,100.0,6.0,E2,,,,,0.72,0.18,7,49.0,FS,11.0,4.9000000000000006e-14,1.1e-14,4.896745240046352,1.224186310011588,35Cl,3/2,3,2,1,True,0.297,0.1733,0.4272575380785712,0.5042890276942706,0.4135559281225593,0.2995985726468463,0.42561676649644536,0.0532094418616478,0.07559058239883616,0.0532094418616478,0.07559058239883616
69,76,22,Mg,12,10,3308.22,0.06,4,200 FS 45,2061.09,0.05,100.0,0.0,E2,,,,,21.0,5.0,8,200.0,FS,45.0,2e-13,4.5e-14,76.90132512895161,18.30983931641705,22Mg,2,4,1,1,True,-1.5607,-1.341,21.88631231193721,26.23988800110248,21.499787189988613,-0.24951847624297518,-0.023799389999457753,-0.8143455385883639,-0.07767331445351669,0.8143455385883639,0.07767331445351669
160,191,28,Si,14,14,6690.74,0.15,0,147 FS 10,4910.8,0.5,100.0,0.0,E2,,,,,0.267,0.019,0,147.0,FS,10.0,1.47e-13,1.0000000000000002e-14,1.3485682296165766,0.0959655294483706,28Si,2,4,3,1,True,-0.2823,-0.2823,0.5926990788095078,0.7157337022213595,0.5862037954618491,-1.680650570117451,-1.195519833190446,-0.1107972257404235,-0.07881488465856314,0.1107972257404235,0.07881488465856314
134,144,26,Al,13,13,3962.83,0.05,3,37 FS 5,3962.5,0.0,7.9,0.4,[E2],,,,,0.19,0.03,6,37.0,FS,5.0,3.7e-14,5.000000000000001e-15,0.8693654017350769,0.137268221326591,26Al,5,10,7,1,True,-0.2534,-0.2534,0.516079655550742,0.6232093413244078,0.5104240307782232,-2.280049164865304,-1.6864422672538062,-0.10696233500828173,-0.07911487416227898,0.10696233500828173,0.07911487416227898
95,104,26,Mg,12,14,4972.3,0.13,0,446 FS 70,2033.88,0.12,100.0,4.0,E2,,,,,7.4,1.3,0,446.0,FS,70.0,4.46e-13,7e-14,33.85949459389247,5.948289590818948,26Mg,2,4,3,2,True,0.8289,1.2806,6.9611731274526605,8.609167584792257,7.041784795483635,-0.16340102497192652,0.04840746006977907,-0.284274042564692,0.08421602230885174,0.284274042564692,0.08421602230885174
219,270,36,Ar,18,18,4440.11,0.19,2,76 FS 14,4439.8,0.0,100.0,3.0,E2,,,,,0.39,0.08,4,76.0,FS,14.0,7.6e-14,1.4e-14,2.753925763582949,0.5649078489400922,36Ar,0,0,2,1,True,0.0872,0.0872,0.04356762283683397,0.05261154792517085,0.04309017303941305,0.8650985950636645,0.8895123768220179,0.08328954307933298,0.08564004132207047,0.08328954307933298,0.08564004132207047
41,46,22,Ne,10,12,4456.2,0.9,2,3.7 FS 2.5,4455.7,0.0,3.1,2.1,E2,,,,,0.7,0.5,4,3.7,FS,2.5,3.7e-15,2.5000000000000004e-15,2.563377504298387,1.8309839316417047,22Ne,0,0,2,1,True,-0.4654,0.0438,1.1786141022973284,1.3229156488646283,1.0880134708731486,-0.8898794983780406,-0.5543049583902123,-0.1526474382043743,-0.09508392095387125,0.1526474382043743,0.09508392095387125
